date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Power (MW)
2019-01-01 00:00:00,0.0,0.0,0.0,-9.62,872.81,0.269033
2019-01-01 00:15:00,0.0,0.0,0.0,-9.96,872.78,0.2681
2019-01-01 00:30:00,0.0,0.0,0.0,-10.16,872.76,0.266933
2019-01-01 00:45:00,0.0,0.0,0.0,-10.37,872.77,0.269267
2019-01-01 01:00:00,0.0,0.0,0.0,-10.49,872.8,0.269967
2019-01-01 01:15:00,0.0,0.0,0.0,-10.38,872.87,0.272067
2019-01-01 01:30:00,0.0,0.0,0.0,-10.37,855.57,0.267633
2019-01-01 01:45:00,0.0,0.0,0.0,-10.74,873.04,0.2702
2019-01-01 02:00:00,0.0,0.0,0.0,-10.54,873.01,0.269033
2019-01-01 02:15:00,0.0,0.0,0.0,-10.6,872.99,0.2772
2019-01-01 02:30:00,0.0,0.0,0.0,-10.94,872.84,0.2758
2019-01-01 02:45:00,0.0,0.0,0.0,-11.11,872.85,0.276733
2019-01-01 03:00:00,0.0,0.0,0.0,-11.59,872.77,0.272767
2019-01-01 03:15:00,0.0,0.0,0.0,-11.38,872.82,0.2716
2019-01-01 03:30:00,0.0,0.0,0.0,-11.53,872.7,0.273
2019-01-01 03:45:00,0.0,0.0,0.0,-12.07,872.75,0.273233
2019-01-01 04:00:00,0.0,0.0,0.0,-11.83,872.65,0.277433
2019-01-01 04:15:00,0.0,0.0,0.0,-12.01,872.59,0.2779
2019-01-01 04:30:00,0.0,0.0,0.0,-12.0,872.56,0.279067
2019-01-01 04:45:00,0.0,0.0,0.0,-11.55,872.54,0.276033
2019-01-01 05:00:00,0.0,0.0,0.0,-11.49,872.52,0.277667
2019-01-01 05:15:00,0.0,0.0,0.0,-11.42,872.46,0.2779
2019-01-01 05:30:00,0.0,0.0,0.0,-11.48,872.49,0.278133
2019-01-01 05:45:00,0.0,0.0,0.0,-11.55,872.15,0.279767
2019-01-01 06:00:00,0.0,0.0,0.0,-12.12,872.02,0.2828
2019-01-01 06:15:00,0.0,0.0,0.0,-11.6,871.78,0.279067
2019-01-01 06:30:00,0.0,0.0,0.0,-11.97,871.61,0.278367
2019-01-01 06:45:00,0.0,0.0,0.0,-11.87,871.51,0.274867
2019-01-01 07:00:00,0.0,0.0,0.0,-12.22,871.19,0.272533
2019-01-01 07:15:00,0.0,0.0,0.0,-12.12,871.06,0.2772
2019-01-01 07:30:00,0.0,0.0,0.0,-12.55,870.85,0.28
2019-01-01 07:45:00,0.0,0.0,0.0,-12.53,870.54,0.276733
2019-01-01 08:00:00,0.0,0.0,0.0,-12.98,870.61,0.267167
2019-01-01 08:15:00,0.0,0.0,0.0,-13.42,870.6,0.2772
2019-01-01 08:30:00,0.0,0.0,0.0,-13.5,870.86,0.273467
2019-01-01 08:45:00,0.0,0.0,0.0,-13.03,871.11,0.2737
2019-01-01 09:00:00,0.0,0.0,0.0,-12.8,871.27,0.271367
2019-01-01 09:15:00,0.0,0.0,0.0,-13.05,871.46,0.270667
2019-01-01 09:30:00,0.0,0.0,0.0,-13.05,871.65,0.278833
2019-01-01 09:45:00,0.0,0.0,0.0,-13.04,871.85,0.2744
2019-01-01 10:00:00,0.0,0.0,0.0,-12.91,871.94,0.6384
2019-01-01 10:15:00,10.96,7.91,6.57,-12.83,872.08,3.224433
2019-01-01 10:30:00,33.32,24.04,20.5,-12.79,872.18,7.280466
2019-01-01 10:45:00,64.77,46.73,41.97,-11.99,872.25,11.086599
2019-01-01 11:00:00,86.91,62.7,58.2,-11.14,872.24,12.622633
2019-01-01 11:15:00,106.44,76.8,72.71,-10.14,872.09,17.946133
2019-01-01 11:30:00,142.05,102.49,97.41,-9.26,871.72,31.219534
2019-01-01 11:45:00,206.83,149.23,141.49,-8.38,871.46,43.713364
2019-01-01 12:00:00,243.83,175.92,167.07,-7.12,871.08,51.812134
2019-01-01 12:15:00,210.9,152.16,190.26,-6.09,870.61,59.603367
2019-01-01 12:30:00,328.75,237.2,176.47,-5.14,870.09,63.0714
2019-01-01 12:45:00,291.77,210.51,198.99,-4.79,869.69,65.008064
2019-01-01 13:00:00,398.64,287.62,281.22,-4.38,869.3,77.76627
2019-01-01 13:15:00,409.67,295.58,292.04,-3.99,869.02,80.2165
2019-01-01 13:30:00,414.97,299.4,299.4,-3.79,868.67,82.7932
2019-01-01 13:45:00,427.77,308.64,309.09,-3.59,868.35,85.339096
2019-01-01 14:00:00,442.39,319.18,319.39,-3.25,867.92,87.0289
2019-01-01 14:15:00,453.83,327.44,326.93,-3.05,867.81,87.736595
2019-01-01 14:30:00,459.5,331.53,331.36,-3.1,867.57,87.88314
2019-01-01 14:45:00,457.36,329.99,330.66,-2.64,867.43,85.957436
2019-01-01 15:00:00,451.74,325.93,326.2,-2.27,867.28,84.283264
2019-01-01 15:15:00,445.45,321.39,320.58,-1.8,866.9,81.613235
2019-01-01 15:30:00,434.28,313.33,312.2,-2.11,866.8,80.27693
2019-01-01 15:45:00,425.62,307.08,306.21,-1.26,866.44,77.60666
2019-01-01 16:00:00,402.05,290.08,288.85,-1.09,866.1,74.03713
2019-01-01 16:15:00,388.11,280.02,276.76,-1.23,865.96,70.252464
2019-01-01 16:30:00,361.03,260.49,255.49,-0.82,865.75,64.8291
2019-01-01 16:45:00,336.36,242.69,235.54,-1.31,865.47,59.552498
2019-01-01 17:00:00,313.27,226.03,217.19,-1.04,865.22,56.387096
2019-01-01 17:15:00,274.91,198.35,187.84,-1.13,865.04,48.490868
2019-01-01 17:30:00,248.35,179.18,167.11,-1.17,864.79,43.0577
2019-01-01 17:45:00,217.5,156.93,145.26,-1.12,864.5,32.9875
2019-01-01 18:00:00,181.14,130.69,120.3,-1.35,864.36,18.657564
2019-01-01 18:15:00,90.85,65.55,58.48,-1.92,864.41,11.6424
2019-01-01 18:30:00,100.09,72.22,63.76,-2.12,864.57,9.618467
2019-01-01 18:45:00,51.29,37.01,30.98,-2.52,864.62,4.676233
2019-01-01 19:00:00,26.5,19.12,15.05,-3.04,864.81,2.3086
2019-01-01 19:15:00,10.95,7.9,5.84,-3.57,865.02,0.589167
2019-01-01 19:30:00,0.0,0.0,0.0,-4.22,865.15,0.285367
2019-01-01 19:45:00,0.0,0.0,0.0,-4.77,865.41,0.2681
2019-01-01 20:00:00,0.0,0.0,0.0,-5.13,865.5,0.266467
2019-01-01 20:15:00,0.0,0.0,0.0,-5.61,865.73,0.269733
2019-01-01 20:30:00,0.0,0.0,0.0,-6.25,865.83,0.2758
2019-01-01 20:45:00,0.0,0.0,0.0,-6.51,865.92,0.276033
2019-01-01 21:00:00,0.0,0.0,0.0,-6.69,865.93,0.2751
2019-01-01 21:15:00,0.0,0.0,0.0,-6.96,866.01,0.262733
2019-01-01 21:30:00,0.0,0.0,0.0,-6.94,866.0,0.2639
2019-01-01 21:45:00,0.0,0.0,0.0,-6.88,866.2,0.257367
2019-01-01 22:00:00,0.0,0.0,0.0,-6.98,866.25,0.262267
2019-01-01 22:15:00,0.0,0.0,0.0,-7.11,866.24,0.257367
2019-01-01 22:30:00,0.0,0.0,0.0,-6.64,866.3,0.262267
2019-01-01 22:45:00,0.0,0.0,0.0,-6.67,866.25,0.262733
2019-01-01 23:00:00,0.0,0.0,0.0,-7.8,866.25,0.264133
2019-01-01 23:15:00,0.0,0.0,0.0,-8.36,866.33,0.264833
2019-01-01 23:30:00,0.0,0.0,0.0,-8.33,866.46,0.265067
2019-01-01 23:45:00,0.0,0.0,0.0,-7.84,866.53,0.267633
2019-01-02 00:00:00,0.0,0.0,0.0,-8.56,866.46,0.266
2019-01-02 00:15:00,0.0,0.0,0.0,-9.2,866.5,0.266933
2019-01-02 00:30:00,0.0,0.0,0.0,-8.93,866.46,0.266467
2019-01-02 00:45:00,0.0,0.0,0.0,-9.12,866.44,0.2681
2019-01-02 01:00:00,0.0,0.0,0.0,-9.33,866.49,0.271133
2019-01-02 01:15:00,0.0,0.0,0.0,-9.44,866.53,0.2688
2019-01-02 01:30:00,0.0,0.0,0.0,-9.49,866.55,0.269967
2019-01-02 01:45:00,0.0,0.0,0.0,-9.94,866.5,0.271133
2019-01-02 02:00:00,0.0,0.0,0.0,-9.76,866.51,0.275567
2019-01-02 02:15:00,0.0,0.0,0.0,-9.29,866.49,0.267633
2019-01-02 02:30:00,0.0,0.0,0.0,-9.62,866.45,0.269033
2019-01-02 02:45:00,0.0,0.0,0.0,-8.9,866.51,0.273
2019-01-02 03:00:00,0.0,0.0,0.0,-9.28,866.45,0.276033
2019-01-02 03:15:00,0.0,0.0,0.0,-9.6,866.52,0.274633
2019-01-02 03:30:00,0.0,0.0,0.0,-8.77,866.54,0.2786
2019-01-02 03:45:00,0.0,0.0,0.0,-8.62,866.55,0.269733
2019-01-02 04:00:00,0.0,0.0,0.0,-8.81,866.5,0.269033
2019-01-02 04:15:00,0.0,0.0,0.0,-9.61,866.54,0.2793
2019-01-02 04:30:00,0.0,0.0,0.0,-9.79,866.57,0.279767
2019-01-02 04:45:00,0.0,0.0,0.0,-9.99,866.61,0.277433
2019-01-02 05:00:00,0.0,0.0,0.0,-10.04,866.69,0.273
2019-01-02 05:15:00,0.0,0.0,0.0,-10.06,866.7,0.2758
2019-01-02 05:30:00,0.0,0.0,0.0,-9.89,866.68,0.2765
2019-01-02 05:45:00,0.0,0.0,0.0,-9.99,866.64,0.2744
2019-01-02 06:00:00,0.0,0.0,0.0,-9.84,866.47,0.272533
2019-01-02 06:15:00,0.0,0.0,0.0,-9.84,866.19,0.2744
2019-01-02 06:30:00,0.0,0.0,0.0,-9.73,866.03,0.2765
2019-01-02 06:45:00,0.0,0.0,0.0,-9.55,865.93,0.2744
2019-01-02 07:00:00,0.0,0.0,0.0,-9.5,865.79,0.273467
2019-01-02 07:15:00,0.0,0.0,0.0,-9.64,865.65,0.2709
2019-01-02 07:30:00,0.0,0.0,0.0,-9.9,865.63,0.2709
2019-01-02 07:45:00,0.0,0.0,0.0,-10.3,865.72,0.266933
2019-01-02 08:00:00,0.0,0.0,0.0,-10.32,865.75,0.269733
2019-01-02 08:15:00,0.0,0.0,0.0,-10.5,865.92,0.271133
2019-01-02 08:30:00,0.0,0.0,0.0,-10.79,866.02,0.2709
2019-01-02 08:45:00,0.0,0.0,0.0,-10.82,866.17,0.2653
2019-01-02 09:00:00,0.0,0.0,0.0,-11.04,866.3,0.268333
2019-01-02 09:15:00,0.0,0.0,0.0,-11.11,866.54,0.267633
2019-01-02 09:30:00,0.0,0.0,0.0,-10.85,866.55,0.277433
2019-01-02 09:45:00,0.0,0.0,0.0,-10.93,866.69,0.2933
2019-01-02 10:00:00,0.0,0.0,0.0,-10.91,866.89,0.4333
2019-01-02 10:15:00,9.19,6.63,5.1,-10.75,867.02,2.5396
2019-01-02 10:30:00,34.56,24.94,20.29,-10.18,867.11,6.643234
2019-01-02 10:45:00,68.91,49.72,39.97,-9.57,867.24,14.284433
2019-01-02 11:00:00,128.33,92.59,77.4,-9.28,867.21,21.697433
2019-01-02 11:15:00,194.88,140.61,121.99,-8.99,867.12,28.154465
2019-01-02 11:30:00,207.95,150.03,133.01,-8.47,867.05,35.694633
2019-01-02 11:45:00,241.29,174.09,156.4,-7.67,866.83,42.920967
2019-01-02 12:00:00,279.36,201.56,181.88,-6.88,866.73,53.070732
2019-01-02 12:15:00,292.45,211.0,218.63,-6.15,866.57,63.280003
2019-01-02 12:30:00,357.09,257.64,190.85,-5.72,866.42,60.697235
2019-01-02 12:45:00,366.79,264.64,240.98,-5.15,866.28,60.637028
2019-01-02 13:00:00,333.01,240.27,216.96,-5.35,866.15,46.972565
2019-01-02 13:15:00,222.37,160.44,139.54,-5.09,866.11,42.94313
2019-01-02 13:30:00,261.34,188.56,160.2,-4.64,866.13,48.490402
2019-01-02 13:45:00,384.49,277.41,257.49,-4.41,866.03,63.641666
2019-01-02 14:00:00,311.2,224.53,211.51,-4.15,865.83,52.601032
2019-01-02 14:15:00,309.13,223.03,207.93,-4.5,865.68,57.983566
