date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-01 00:00:00,0,0,0,1028.9,57.6,-0.0357
2019-01-01 00:15:00,0,0,0,1028.7,58.3,-0.0357
2019-01-01 00:30:00,0,0,0,1028.7,58.0,-0.0378
2019-01-01 00:45:00,0,0,0,1028.6,57.2,-0.0378
2019-01-01 01:00:00,0,0,0,1028.6,56.9,-0.0378
2019-01-01 01:15:00,0,0,0,1028.4,56.1,-0.0378
2019-01-01 01:30:00,0,0,0,1028.3,56.9,-0.0378
2019-01-01 01:45:00,0,0,0,1028.2,57.7,-0.0378
2019-01-01 02:00:00,0,33,0,1028.2,57.9,-0.0357
2019-01-01 02:15:00,0,0,0,1028.0,57.6,-0.0378
2019-01-01 02:30:00,0,0,0,1028.2,57.8,-0.0378
2019-01-01 02:45:00,0,33,0,1028.0,56.9,-0.0378
2019-01-01 03:00:00,0,0,0,1027.9,57.0,-0.0378
2019-01-01 03:15:00,0,0,0,1027.7,57.7,-0.0378
2019-01-01 03:30:00,0,0,0,1027.6,58.9,-0.0378
2019-01-01 03:45:00,0,0,0,1027.5,59.0,-0.0378
2019-01-01 04:00:00,0,0,0,1027.4,59.4,-0.0378
2019-01-01 04:15:00,0,0,0,1027.0,59.2,-0.0378
2019-01-01 04:30:00,0,0,0,1026.9,58.5,-0.0378
2019-01-01 04:45:00,0,0,0,1026.9,58.3,-0.0378
2019-01-01 05:00:00,0,0,0,1027.1,58.9,-0.0357
2019-01-01 05:15:00,0,0,0,1027.1,59.2,-0.0357
2019-01-01 05:30:00,0,0,0,1027.1,59.4,-0.0378
2019-01-01 05:45:00,0,0,0,1027.2,59.4,-0.0378
2019-01-01 06:00:00,0,0,0,1026.9,58.8,-0.0357
2019-01-01 06:15:00,0,0,0,1026.9,58.2,-0.0378
2019-01-01 06:30:00,0,0,0,1026.6,57.2,-0.0357
2019-01-01 06:45:00,0,39,0,1026.7,57.4,-0.0378
2019-01-01 07:00:00,0,0,0,1026.6,57.2,-0.0378
2019-01-01 07:15:00,0,0,0,1026.5,57.7,-0.0357
2019-01-01 07:30:00,47,0,0,1026.6,57.4,0.1001805
2019-01-01 07:45:00,124,0,0,1026.6,56.2,0.404985
2019-01-01 08:00:00,206,30,33,1026.7,56.8,1.0252515
2019-01-01 08:15:00,281,0,40,1026.8,56.5,1.9375335
2019-01-01 08:30:00,368,0,45,1026.8,54.7,2.9478645
2019-01-01 08:45:00,433,0,47,1026.7,53.5,4.0647705
2019-01-01 09:00:00,506,0,50,1026.9,53.0,8.206275
2019-01-01 09:15:00,565,33,55,1027.1,52.6,9.3508905
2019-01-01 09:30:00,620,0,57,1027.2,51.1,8.317113
2019-01-01 09:45:00,681,0,58,1026.9,51.0,5.516322
2019-01-01 10:00:00,716,0,63,1027.0,50.3,5.844573
2019-01-01 10:15:00,744,0,67,1027.1,49.2,5.7188145
2019-01-01 10:30:00,778,0,69,1027.1,47.3,8.582231
2019-01-01 10:45:00,799,0,77,1026.9,46.8,7.8886815
2019-01-01 11:00:00,822,0,74,1026.6,46.9,11.910822
2019-01-01 11:15:00,855,0,71,1026.1,46.1,12.120521
2019-01-01 11:30:00,863,0,73,1026.0,45.3,12.2170475
2019-01-01 11:45:00,878,0,72,1025.6,44.5,21.1315895
2019-01-01 12:00:00,875,0,75,1025.6,44.6,20.338773
2019-01-01 12:15:00,869,0,77,1025.7,43.9,21.285159
2019-01-01 12:30:00,862,0,76,1025.3,44.2,20.628657
2019-01-01 12:45:00,867,0,75,1025.1,44.1,20.6521035
2019-01-01 13:00:00,826,31,79,1024.8,46.6,20.368614
2019-01-01 13:15:00,784,0,81,1024.5,45.4,19.746216
2019-01-01 13:30:00,748,0,82,1024.6,43.0,19.004454
2019-01-01 13:45:00,715,40,80,1024.5,39.7,17.908863
2019-01-01 14:00:00,671,0,79,1024.4,44.4,16.4914155
2019-01-01 14:15:00,639,0,77,1024.5,46.8,15.065442000000001
2019-01-01 14:30:00,569,0,73,1024.4,47.3,14.0146125
2019-01-01 14:45:00,532,0,74,1024.5,48.2,12.887049
2019-01-01 15:00:00,482,0,70,1024.3,51.5,11.1285615
2019-01-01 15:15:00,420,0,66,1024.6,48.9,9.173976
2019-01-01 15:30:00,344,45,62,1024.7,48.7,3.994431
2019-01-01 15:45:00,271,43,56,1024.7,49.2,2.7517665
2019-01-01 16:00:00,197,43,48,1024.8,49.9,1.854405
2019-01-01 16:15:00,132,33,37,1024.9,49.6,0.9570435
2019-01-01 16:30:00,68,52,0,1025.0,52.5,0.3389085
2019-01-01 16:45:00,0,0,0,1025.1,55.5,0.174783
2019-01-01 17:00:00,0,0,0,1025.0,54.4,-0.0042
2019-01-01 17:15:00,0,0,0,1025.2,54.8,-0.0588
2019-01-01 17:30:00,0,40,0,1025.6,54.4,-0.0357
2019-01-01 17:45:00,0,0,0,1025.7,56.0,-0.0357
2019-01-01 18:00:00,0,0,0,1026.0,57.3,-0.0378
2019-01-01 18:15:00,0,0,0,1026.2,56.2,-0.0357
2019-01-01 18:30:00,0,0,0,1026.5,56.1,-0.0378
2019-01-01 18:45:00,0,0,0,1026.3,55.9,-0.0378
2019-01-01 19:00:00,0,0,0,1026.7,56.5,-0.0378
2019-01-01 19:15:00,0,0,0,1026.8,57.3,-0.0378
2019-01-01 19:30:00,0,0,0,1027.0,57.4,-0.0378
2019-01-01 19:45:00,0,0,0,1027.2,57.8,-0.0378
2019-01-01 20:00:00,0,0,0,1027.2,58.1,-0.0378
2019-01-01 20:15:00,0,0,0,1027.2,58.5,-0.0378
2019-01-01 20:30:00,0,0,0,1027.3,59.1,-0.0357
2019-01-01 20:45:00,0,0,0,1027.3,59.0,-0.0357
2019-01-01 21:00:00,0,0,0,1027.7,59.7,-0.0357
2019-01-01 21:15:00,0,0,0,1027.7,60.9,-0.0357
2019-01-01 21:30:00,0,0,0,1027.8,60.7,-0.0336
2019-01-01 21:45:00,0,0,0,1027.9,60.7,-0.0378
2019-01-01 22:00:00,0,0,0,1028.1,61.2,-0.0378
2019-01-01 22:15:00,0,0,0,1028.1,61.1,-0.0378
2019-01-01 22:30:00,0,0,0,1028.1,61.1,-0.0357
2019-01-01 22:45:00,0,0,0,1028.2,61.6,-0.0357
2019-01-01 23:00:00,0,0,0,1028.4,60.9,-0.0378
2019-01-01 23:15:00,0,0,0,1028.4,60.8,-0.0357
2019-01-01 23:30:00,0,0,0,1028.4,61.2,-0.0357
2019-01-01 23:45:00,0,0,0,1028.4,61.0,-0.0378
2019-01-02 00:00:00,0,0,0,1028.3,61.4,-0.0378
2019-01-02 00:15:00,0,0,0,1028.4,62.3,-0.0378
2019-01-02 00:30:00,0,0,0,1028.5,62.7,-0.0357
2019-01-02 00:45:00,0,0,0,1028.4,62.3,-0.0357
2019-01-02 01:00:00,0,0,0,1028.4,63.1,-0.0378
2019-01-02 01:15:00,0,0,0,1028.5,63.7,-0.0378
2019-01-02 01:30:00,0,0,0,1028.5,63.9,-0.0378
2019-01-02 01:45:00,0,0,0,1028.8,62.8,-0.0378
2019-01-02 02:00:00,0,0,0,1028.8,62.0,-0.0357
2019-01-02 02:15:00,0,0,0,1028.7,61.2,-0.0378
2019-01-02 02:30:00,0,0,0,1028.6,61.8,-0.0378
2019-01-02 02:45:00,0,0,0,1028.5,62.1,-0.0378
2019-01-02 03:00:00,0,0,0,1028.6,62.9,-0.0357
2019-01-02 03:15:00,0,0,0,1028.6,63.7,-0.0336
2019-01-02 03:30:00,0,0,0,1028.5,64.3,-0.0378
2019-01-02 03:45:00,0,0,0,1028.6,64.8,-0.0378
2019-01-02 04:00:00,0,0,0,1028.7,65.3,-0.0378
2019-01-02 04:15:00,0,0,0,1028.6,65.6,-0.0378
2019-01-02 04:30:00,0,0,0,1028.6,66.0,-0.0378
2019-01-02 04:45:00,0,0,0,1028.6,66.5,-0.0378
2019-01-02 05:00:00,0,0,0,1028.7,66.7,-0.0378
2019-01-02 05:15:00,0,0,0,1028.7,67.0,-0.0378
2019-01-02 05:30:00,0,0,0,1028.9,67.3,-0.0378
2019-01-02 05:45:00,0,0,0,1028.9,67.3,-0.0378
2019-01-02 06:00:00,0,0,0,1029.2,67.2,-0.0378
2019-01-02 06:15:00,0,0,0,1029.3,67.3,-0.0378
2019-01-02 06:30:00,0,0,0,1029.4,67.3,-0.0378
2019-01-02 06:45:00,0,0,0,1029.4,67.1,-0.0378
2019-01-02 07:00:00,0,0,0,1029.2,67.4,-0.0378
2019-01-02 07:15:00,0,0,0,1029.3,67.6,0.0063945
2019-01-02 07:30:00,0,0,0,1029.5,66.8,0.25578
2019-01-02 07:45:00,57,0,0,1029.7,66.0,0.7268415
2019-01-02 08:00:00,120,0,31,1029.9,65.6,1.394001
2019-01-02 08:15:00,180,0,39,1030.2,64.5,2.144289
2019-01-02 08:30:00,240,0,47,1030.4,63.0,2.8967085
2019-01-02 08:45:00,287,0,55,1030.7,61.5,4.0221405
2019-01-02 09:00:00,330,0,61,1031.0,60.5,8.6304435
2019-01-02 09:15:00,382,0,65,1030.9,58.8,10.307934
2019-01-02 09:30:00,433,0,69,1030.9,56.7,11.787195
2019-01-02 09:45:00,488,0,76,1031.0,54.0,13.756701
2019-01-02 10:00:00,552,0,84,1031.0,53.2,15.1698855
2019-01-02 10:15:00,631,0,90,1031.0,52.8,16.480758
2019-01-02 10:30:00,718,0,96,1030.9,51.7,17.7831045
2019-01-02 10:45:00,780,0,101,1030.7,48.1,18.735885
2019-01-02 11:00:00,794,31,102,1030.6,48.0,19.48191
2019-01-02 11:15:00,795,0,103,1030.5,45.4,19.9444455
2019-01-02 11:30:00,804,0,103,1030.3,42.4,20.4474795
2019-01-02 11:45:00,783,0,112,1030.2,46.7,21.0442995
2019-01-02 12:00:00,773,0,123,1030.0,47.1,21.268107
2019-01-02 12:15:00,765,0,127,1030.0,46.4,21.1508745
2019-01-02 12:30:00,760,0,125,1029.8,47.7,20.880174
2019-01-02 12:45:00,746,0,123,1030.0,47.0,20.586027
2019-01-02 13:00:00,736,0,118,1030.0,47.4,19.6588245
2019-01-02 13:15:00,704,0,119,1029.9,47.9,19.430754
2019-01-02 13:30:00,681,0,113,1029.5,49.4,18.633573
2019-01-02 13:45:00,648,0,109,1029.7,49.9,17.8086825
2019-01-02 14:00:00,599,0,110,1029.9,52.0,16.4232075
2019-01-02 14:15:00,556,36,106,1029.9,52.1,14.9098425
2019-01-02 14:30:00,513,0,100,1029.8,50.9,13.9464045
2019-01-02 14:45:00,458,0,96,1029.8,52.8,12.3627
2019-01-02 15:00:00,397,0,92,1030.0,53.9,10.623396
2019-01-02 15:15:00,342,0,82,1029.9,53.9,8.901144
2019-01-02 15:30:00,283,46,74,1029.9,53.7,4.254474
2019-01-02 15:45:00,224,0,64,1030.0,53.7,3.0032835
2019-01-02 16:00:00,164,58,53,1029.9,53.8,2.114448
2019-01-02 16:15:00,98,0,37,1029.9,54.1,1.402527
2019-01-02 16:30:00,43,0,0,1029.8,54.0,0.686343
2019-01-02 16:45:00,0,0,0,1029.8,54.4,0.362355
2019-01-02 17:00:00,0,0,0,1029.9,54.0,0.0106575
2019-01-02 17:15:00,0,30,0,1029.9,54.5,-0.0588
2019-01-02 17:30:00,0,0,0,1030.1,55.7,-0.0378
2019-01-02 17:45:00,0,0,0,1030.1,56.5,-0.0378
2019-01-02 18:00:00,0,0,0,1030.0,56.8,-0.0378
2019-01-02 18:15:00,0,67,0,1030.2,56.6,-0.0357
2019-01-02 18:30:00,0,0,0,1030.4,56.9,-0.0357
2019-01-02 18:45:00,0,0,0,1030.5,57.7,-0.0378
2019-01-02 19:00:00,0,0,0,1030.8,58.1,-0.0378
2019-01-02 19:15:00,0,0,0,1031.0,58.3,-0.0357
2019-01-02 19:30:00,0,34,0,1031.2,57.9,-0.0378
2019-01-02 19:45:00,0,35,0,1031.3,58.7,-0.0357
2019-01-02 20:00:00,0,0,0,1031.3,59.3,-0.0378
2019-01-02 20:15:00,0,47,0,1031.8,60.0,-0.0378
2019-01-02 20:30:00,0,0,0,1031.7,60.2,-0.0378
2019-01-02 20:45:00,0,33,0,1031.9,60.4,-0.0357
2019-01-02 21:00:00,0,0,0,1032.0,60.4,-0.0357
2019-01-02 21:15:00,0,0,0,1032.2,60.8,-0.0357
2019-01-02 21:30:00,0,0,0,1032.7,60.1,-0.0378
2019-01-02 21:45:00,0,0,0,1032.4,60.0,-0.0378
2019-01-02 22:00:00,0,0,0,1032.6,60.6,-0.0357
2019-01-02 22:15:00,0,35,0,1032.6,60.8,-0.0378
2019-01-02 22:30:00,0,0,0,1033.0,60.4,-0.0378
2019-01-02 22:45:00,0,33,0,1032.9,60.2,-0.0378
2019-01-02 23:00:00,0,0,0,1033.5,61.2,-0.0378
2019-01-02 23:15:00,0,0,0,1033.5,61.2,-0.0378
