date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019-01-01 00:00:00,0.0,0.0,0.0,11.9,837.2,53.06,0.0
2019-01-01 00:15:00,0.0,0.0,0.0,11.6,837.25336,54.76,0.0
2019-01-01 00:30:00,0.0,0.0,0.0,11.36,837.2133,57.16,0.0
2019-01-01 00:45:00,0.0,0.0,0.0,11.3133335,837.2,58.733334,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,11.26,837.0933,59.933334,0.0
2019-01-01 01:15:00,0.0,0.0,0.0,10.933333,836.94666,62.113335,0.0
2019-01-01 01:30:00,0.0,0.0,0.0,10.9,836.81335,62.213333,0.0
2019-01-01 01:45:00,0.0,0.0,0.0,10.46,836.8,63.98,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,10.026667,836.73334,65.18,0.0
2019-01-01 02:15:00,0.0,0.0,0.0,10.16,836.85333,66.08,0.0
2019-01-01 02:30:00,0.0,0.0,0.0,10.58,836.92,66.26667,0.0
2019-01-01 02:45:00,0.0,0.0,0.0,10.393333,837.0,67.613335,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,10.173333,837.0,68.10667,0.0
2019-01-01 03:15:00,0.0,0.0,0.0,9.4,837.0,71.14667,0.0
2019-01-01 03:30:00,0.0,0.0,0.0,9.106667,837.02,71.42,0.0
2019-01-01 03:45:00,0.0,0.0,0.0,9.066667,837.1,72.07333,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,9.606667,837.0133,72.10667,0.0
2019-01-01 04:15:00,0.0,0.0,0.0,9.34,837.0,72.48,0.0
2019-01-01 04:30:00,0.0,0.0,0.0,8.953333,836.8933,73.78667,0.0
2019-01-01 04:45:00,0.0,0.0,0.0,9.246667,836.85333,73.49333,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,9.853333,836.7267,71.253334,0.0
2019-01-01 05:15:00,0.0,0.0,0.0,9.72,836.64667,71.36667,0.0
2019-01-01 05:30:00,0.0,0.0,0.0,9.32,836.5133,72.973335,0.0
2019-01-01 05:45:00,0.0,0.0,0.0,9.173333,836.55334,74.46667,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,9.033334,836.5333,74.82667,0.0
2019-01-01 06:15:00,0.0,0.0,0.0,8.806666,836.70667,76.6,0.0
2019-01-01 06:30:00,0.0,0.0,0.0,8.8133335,836.82,76.833336,0.0
2019-01-01 06:45:00,0.0,0.0,0.0,8.573334,836.9533,78.03333,0.0
2019-01-01 07:00:00,0.0,0.0,0.0,8.18,837.1067,79.346664,0.0
2019-01-01 07:15:00,0.0,0.0,0.0,8.36,837.36,79.86667,0.0
2019-01-01 07:30:00,0.0,0.0,0.0,8.713333,837.67334,79.986664,0.0
2019-01-01 07:45:00,0.0,0.0,0.0,9.273334,837.75336,78.73333,0.0
2019-01-01 08:00:00,0.0,0.0,0.0,9.066667,837.99335,79.55334,0.0
2019-01-01 08:15:00,3.9333334,0.8666667,1.0666667,9.053333,838.1533,80.206665,0.064
2019-01-01 08:30:00,50.266666,14.4,17.266666,9.16,838.3933,80.12666,0.7673333
2019-01-01 08:45:00,183.13333,111.46667,54.0,9.613334,838.55334,78.94,2.586
2019-01-01 09:00:00,288.13333,7.6666665,100.6,10.3133335,838.6667,76.34,4.7973332
2019-01-01 09:15:00,392.2,0.0,157.6,10.866667,838.6,73.27333,7.214667
2019-01-01 09:30:00,476.33334,239.73334,133.13333,10.8,838.68665,72.87334,9.607333
2019-01-01 09:45:00,542.3333,283.2,162.86667,10.88,838.75336,73.206665,11.849334
2019-01-01 10:00:00,598.0,423.2,143.46666,11.466666,838.84,70.80666,13.948667
2019-01-01 10:15:00,651.4667,750.3333,55.266666,11.433333,838.94666,71.32667,15.996
2019-01-01 10:30:00,701.6,801.73334,64.86667,11.646667,839.00665,69.92,17.812
2019-01-01 10:45:00,755.6,843.26666,73.73333,12.246667,839.1,67.02,19.523333
2019-01-01 11:00:00,821.26666,875.93335,82.13333,12.393333,838.9067,66.18,21.062666
2019-01-01 11:15:00,878.6,891.73334,88.53333,12.56,838.74664,65.04,22.292
2019-01-01 11:30:00,922.86664,902.2,94.26667,12.793333,838.5933,64.246666,23.361334
2019-01-01 11:45:00,955.86664,905.2,98.6,12.973333,838.5,63.92,24.354666
2019-01-01 12:00:00,985.4,908.2,102.46667,13.333333,838.11334,62.353333,25.204666
2019-01-01 12:15:00,1012.4667,908.0,105.53333,13.606667,837.74,61.16,25.934668
2019-01-01 12:30:00,1038.7333,910.4667,108.2,14.093333,837.4533,59.233334,26.581333
2019-01-01 12:45:00,1052.4,910.4,109.933334,14.306666,837.04,57.886665,27.072
2019-01-01 13:00:00,1063.0667,912.26666,111.46667,15.146667,836.6,54.913334,27.352
2019-01-01 13:15:00,1069.4,925.6667,113.666664,15.406667,836.29333,52.72,27.472666
2019-01-01 13:30:00,1083.9333,1017.5333,124.933334,15.88,835.92,49.68,27.416
2019-01-01 13:45:00,1096.0667,934.3333,114.0,16.073334,835.64,48.306667,27.249332
2019-01-01 14:00:00,1108.0,926.0,111.8,16.706667,835.26666,44.553333,27.239334
2019-01-01 14:15:00,1088.6,919.06665,109.0,16.76,834.8933,42.44,26.754
2019-01-01 14:30:00,1066.1333,924.86664,107.2,17.04,834.6533,39.853333,26.228666
2019-01-01 14:45:00,1033.5333,931.0,104.933334,17.526667,834.29333,39.713333,25.645334
2019-01-01 15:00:00,994.4,931.8,101.333336,18.066668,834.00665,37.773335,24.764668
2019-01-01 15:15:00,944.93335,922.93335,96.2,18.246666,833.79333,38.393333,23.775333
2019-01-01 15:30:00,901.13336,920.5333,91.2,18.373333,833.5933,38.546665,22.799334
2019-01-01 15:45:00,848.6,902.73334,84.333336,18.373333,833.44666,38.633335,21.458
2019-01-01 16:00:00,795.5333,876.26666,76.46667,18.086666,833.18665,39.36,20.086
2019-01-01 16:15:00,743.0,837.13336,67.333336,18.586666,833.0,38.486668,18.489334
2019-01-01 16:30:00,683.6,778.8,57.2,18.913334,833.02,37.86,16.649334
2019-01-01 16:45:00,630.93335,542.73334,114.066666,18.64,833.0467,38.573334,14.847333
2019-01-01 17:00:00,571.93335,17.133333,256.0,18.413334,833.02,39.213333,12.827333
2019-01-01 17:15:00,511.8,25.733334,205.8,18.373333,833.1,39.32,10.846
2019-01-01 17:30:00,425.0,3.8666666,155.73334,18.106667,833.0733,39.2,8.464666
2019-01-01 17:45:00,267.06668,0.13333334,93.933334,18.173334,833.3,38.886665,4.3
2019-01-01 18:00:00,124.0,1.6666666,42.866665,17.633333,833.36664,40.22,1.896
2019-01-01 18:15:00,44.066666,1.1333333,11.4,16.686666,833.3,43.226665,0.92266667
2019-01-01 18:30:00,19.6,0.0,3.4,16.433332,833.4733,43.44,0.25066668
