fold,horizon_steps,strategy,condition,n,qhat,mean_score
q1_2020,1,persistence,clean,5888,3.755533,1.394137143682065
q1_2020,1,persistence,combined_outage,5888,25.507465,9.515775274966032
q1_2020,1,persistence,irradiance_outage,5888,3.755533,1.394137143682065
q1_2020,1,persistence,recent_power_outage,5888,25.507465,9.515775274966032
q1_2020,1,persistence,weather_outage,5888,3.755533,1.394137143682065
q1_2020,1,lgbm,clean,5888,0.0155342494191594,0.1398738006961571
q1_2020,1,lgbm,combined_outage,5888,16.52298100368791,7.713039081729148
q1_2020,1,lgbm,irradiance_outage,5888,1.5262523650677178,0.6529971084958739
q1_2020,1,lgbm,recent_power_outage,5888,14.22538690893738,4.417546150230904
q1_2020,1,lgbm,weather_outage,5888,0.0377601689742048,0.1431911404578253
q1_2020,1,clean,clean,5888,0.0,0.1214787022669577
q1_2020,1,clean,combined_outage,5888,18.37129048125,7.52918761525918
q1_2020,1,clean,irradiance_outage,5888,0.0662192741071428,0.1076985334359853
q1_2020,1,clean,recent_power_outage,5888,18.316420538333333,4.707913199026128
q1_2020,1,clean,weather_outage,5888,0.0,0.1287064672669524
q1_2020,1,robust,clean,5888,0.0,0.0888833399320491
q1_2020,1,robust,combined_outage,5888,0.2136917020296643,0.2986154330228995
q1_2020,1,robust,irradiance_outage,5888,0.0,0.0958241125798614
q1_2020,1,robust,recent_power_outage,5888,0.0,0.1729050800207496
q1_2020,1,robust,weather_outage,5888,0.0,0.0906508805741646
q1_2020,4,persistence,clean,5888,13.418333,4.634929108016305
q1_2020,4,persistence,combined_outage,5888,30.636534,12.290748514436142
q1_2020,4,persistence,irradiance_outage,5888,13.418333,4.634929108016305
q1_2020,4,persistence,recent_power_outage,5888,30.636534,12.290748514436142
q1_2020,4,persistence,weather_outage,5888,13.418333,4.634929108016305
q1_2020,4,lgbm,clean,5888,0.5266488747590192,0.2759720509824821
q1_2020,4,lgbm,combined_outage,5888,6.144509684282687,2.3097407452174177
q1_2020,4,lgbm,irradiance_outage,5888,4.311282181210685,1.1437102433449702
q1_2020,4,lgbm,recent_power_outage,5888,3.5281860476702605,0.9464157531099852
q1_2020,4,lgbm,weather_outage,5888,0.5941997368906128,0.2858090431531641
q1_2020,4,clean,clean,5888,0.6325533624999995,0.3850896759860337
q1_2020,4,clean,combined_outage,5888,11.03179576818182,2.8547157724447025
q1_2020,4,clean,irradiance_outage,5888,0.2036246121212119,0.2919750590182435
q1_2020,4,clean,recent_power_outage,5888,11.45972074404762,2.6246229529338705
q1_2020,4,clean,weather_outage,5888,0.8312949954545452,0.3958022896063646
q1_2020,4,robust,clean,5888,0.3099699882261202,0.3159013869734772
q1_2020,4,robust,combined_outage,5888,1.3571261722222214,0.5404074334527943
