fold,horizon_steps,condition,n,ramp_n,ramp_prevalence,roc_auc,average_precision,brier,top_decile_ramp_recall
q1_2020,1,clean,5824,257,0.044127747252747256,0.8820771234603022,0.23576949471617334,0.06262290080476744,0.5058365758754864
q1_2020,1,combined_outage,5824,257,0.044127747252747256,0.6604777038677756,0.0860080330496234,0.08723355287772318,0.23346303501945526
q1_2020,1,irradiance_outage,5824,257,0.044127747252747256,0.8675540060626861,0.21093338458275096,0.06591909166426414,0.47470817120622566
q1_2020,1,recent_power_outage,5824,257,0.044127747252747256,0.6787080481911543,0.08551515424985874,0.09108059103202286,0.22568093385214008
q1_2020,1,weather_outage,5824,257,0.044127747252747256,0.8665936497663063,0.18728379150391594,0.0623840296169238,0.4357976653696498
q1_2020,4,clean,5824,1231,0.21136675824175824,0.9511464749717146,0.8587074513069438,0.08103646649608318,0.44191714053614944
q1_2020,4,combined_outage,5824,1231,0.21136675824175824,0.7514602537715448,0.490953338389263,0.16842365663244255,0.31356620633631194
q1_2020,4,irradiance_outage,5824,1231,0.21136675824175824,0.934399431338934,0.8078907716133756,0.11544393937950782,0.4191714053614947
q1_2020,4,recent_power_outage,5824,1231,0.21136675824175824,0.8422104381990536,0.6412783952677784,0.1462922350420412,0.34524776604386676
q1_2020,4,weather_outage,5824,1231,0.21136675824175824,0.9484765872129436,0.8520214903652062,0.07944784343673783,0.4386677497969131
q2_2020,1,clean,5824,336,0.057692307692307696,0.8700606518117451,0.26895022386722833,0.076374727947467,0.4880952380952381
q2_2020,1,combined_outage,5824,336,0.057692307692307696,0.6112595229418297,0.08003727272326194,0.08212328155171908,0.12797619047619047
q2_2020,1,irradiance_outage,5824,336,0.057692307692307696,0.8575238290469249,0.25537314093069846,0.06691088947930979,0.47023809523809523
q2_2020,1,recent_power_outage,5824,336,0.057692307692307696,0.651310380657365,0.09695985551768928,0.08536423811366459,0.16964285714285715
q2_2020,1,weather_outage,5824,336,0.057692307692307696,0.864405456059975,0.2698639282460875,0.07665053644547058,0.47023809523809523
q2_2020,4,clean,5824,858,0.14732142857142858,0.8935616504585493,0.6456846729288953,0.11041230803047312,0.48717948717948717
q2_2020,4,combined_outage,5824,858,0.14732142857142858,0.653668371499624,0.31185389004984754,0.1735613869648137,0.3344988344988345
q2_2020,4,irradiance_outage,5824,858,0.14732142857142858,0.8681683466218303,0.5548797117593778,0.14756770153207305,0.4324009324009324
q2_2020,4,recent_power_outage,5824,858,0.14732142857142858,0.7851892871526379,0.4759232903147605,0.12177308874688099,0.38578088578088576
q2_2020,4,weather_outage,5824,858,0.14732142857142858,0.8852572786322284,0.6265051116807672,0.12276826066318539,0.46853146853146854
q3_2020,1,clean,5888,454,0.07710597826086957,0.8842167280899021,0.3523092785184429,0.08580302938266779,0.4955947136563877
q3_2020,1,combined_outage,5888,454,0.07710597826086957,0.7253400436799463,0.13410061736901024,0.09560146712469607,0.1343612334801762
q3_2020,1,irradiance_outage,5888,454,0.07710597826086957,0.8666338877908549,0.3372872963645415,0.0829808463695278,0.4713656387665198
q3_2020,1,recent_power_outage,5888,454,0.07710597826086957,0.7769795414416328,0.19411856361062818,0.08957559121568072,0.2577092511013216
q3_2020,1,weather_outage,5888,454,0.07710597826086957,0.8838707663771423,0.3496935946538312,0.08341458023121415,0.4889867841409692
q3_2020,4,clean,5888,1001,0.17000679347826086,0.9118851273547407,0.7250602506121855,0.10785390314868164,0.46553446553446554
q3_2020,4,combined_outage,5888,1001,0.17000679347826086,0.6957874333564942,0.38347414878341074,0.18037131686665603,0.3166833166833167
q3_2020,4,irradiance_outage,5888,1001,0.17000679347826086,0.8973397177817066,0.6676761257136213,0.12496247340598785,0.43656343656343655
q3_2020,4,recent_power_outage,5888,1001,0.17000679347826086,0.8238897382543792,0.5511780729883431,0.12562299431956117,0.35764235764235763
q3_2020,4,weather_outage,5888,1001,0.17000679347826086,0.9040250725333598,0.7117703218465918,0.12672262140522356,0.46853146853146854
q4_2020,1,clean,5888,348,0.059103260869565216,0.907774440848168,0.4143146821650964,0.05831027697121148,0.5833333333333334
q4_2020,1,combined_outage,5888,348,0.059103260869565216,0.7406508050126561,0.14302683308341962,0.1091719634144997,0.27586206896551724
q4_2020,1,irradiance_outage,5888,348,0.059103260869565216,0.9034202664010955,0.41064089684568367,0.07118029496670934,0.5574712643678161
q4_2020,1,recent_power_outage,5888,348,0.059103260869565216,0.6882365450848583,0.15333014895648014,0.10164948643450279,0.29022988505747127
q4_2020,1,weather_outage,5888,348,0.059103260869565216,0.9023924747914851,0.35243659194850274,0.05743894929462089,0.5373563218390804
q4_2020,4,clean,5888,1163,0.19752038043478262,0.957131483528732,0.8668298911509555,0.07549102315403616,0.47463456577815993
q4_2020,4,combined_outage,5888,1163,0.19752038043478262,0.678857725186186,0.36575403186302663,0.2042560540311012,0.23989681857265693
q4_2020,4,irradiance_outage,5888,1163,0.19752038043478262,0.9480241302597278,0.8219093915937743,0.10299978993631292,0.4522785898538263
q4_2020,4,recent_power_outage,5888,1163,0.19752038043478262,0.8845185094196273,0.6987643524092739,0.1298668276588567,0.38435081685296646
q4_2020,4,weather_outage,5888,1163,0.19752038043478262,0.9530767445986706,0.856280852486075,0.07488451711047622,0.471195184866724
