horizon_steps,threshold_fraction,method,condition,ramp_group,n,coverage,undercoverage_error,mean_width
1,0.075,robust_condition_cqr,clean,non_ramp,21105,0.9611466477138119,0.0,4.713215351104736
1,0.075,robust_condition_cqr,clean,ramp,2319,0.653730056058646,0.24626994394135404,10.586752891540527
1,0.075,robust_condition_cqr,combined_outage,non_ramp,21105,0.917649846008055,0.0,7.984183311462402
1,0.075,robust_condition_cqr,combined_outage,ramp,2319,0.7395429064251833,0.16045709357481674,13.715439796447754
1,0.075,robust_condition_cqr,irradiance_outage,non_ramp,21105,0.9628997867803838,0.0,5.293693542480469
1,0.075,robust_condition_cqr,irradiance_outage,ramp,2319,0.6403622250970246,0.25963777490297546,10.98801326751709
1,0.075,robust_condition_cqr,recent_power_outage,non_ramp,21105,0.9220090026060175,0.0,7.400134563446045
1,0.075,robust_condition_cqr,recent_power_outage,ramp,2319,0.7753341957740405,0.12466580422595952,13.399473190307617
1,0.075,robust_condition_cqr,weather_outage,non_ramp,21105,0.962283819000237,0.0,4.867501735687256
1,0.075,robust_condition_cqr,weather_outage,ramp,2319,0.6589047003018542,0.2410952996981458,10.71976375579834
1,0.075,robust_local_cqr,clean,non_ramp,21105,0.9717128642501777,0.0,5.09292459487915
1,0.075,robust_local_cqr,clean,ramp,2319,0.7266062958171625,0.1733937041828375,11.951693534851074
1,0.075,robust_local_cqr,combined_outage,non_ramp,21105,0.9360341151385928,0.0,8.80107593536377
1,0.075,robust_local_cqr,combined_outage,ramp,2319,0.8219059939629151,0.07809400603708494,16.71367645263672
1,0.075,robust_local_cqr,irradiance_outage,non_ramp,21105,0.9756455816157309,0.0,5.727447509765625
1,0.075,robust_local_cqr,irradiance_outage,ramp,2319,0.7136696852091419,0.18633031479085815,12.431269645690918
1,0.075,robust_local_cqr,recent_power_outage,non_ramp,21105,0.9456526889362711,0.0,8.561444282531738
1,0.075,robust_local_cqr,recent_power_outage,ramp,2319,0.8520914187149633,0.04790858128503672,16.274057388305664
1,0.075,robust_local_cqr,weather_outage,non_ramp,21105,0.972376214167259,0.0,5.2410807609558105
1,0.075,robust_local_cqr,weather_outage,ramp,2319,0.7218628719275549,0.17813712807244508,12.018599510192871
1,0.075,robust_risk_mondrian,clean,non_ramp,21105,0.9659322435441838,0.0,4.917903900146484
1,0.075,robust_risk_mondrian,clean,ramp,2319,0.7059077188443295,0.19409228115567057,11.613415718078613
1,0.075,robust_risk_mondrian,combined_outage,non_ramp,21105,0.9221511490168206,0.0,8.45878791809082
1,0.075,robust_risk_mondrian,combined_outage,ramp,2319,0.7800776196636481,0.11992238033635194,15.024982452392578
1,0.075,robust_risk_mondrian,irradiance_outage,non_ramp,21105,0.9686804074863776,0.0,5.573177814483643
1,0.075,robust_risk_mondrian,irradiance_outage,ramp,2319,0.7003018542475204,0.19969814575247957,12.246402740478516
1,0.075,robust_risk_mondrian,recent_power_outage,non_ramp,21105,0.9263681592039801,0.0,7.717643737792969
1,0.075,robust_risk_mondrian,recent_power_outage,ramp,2319,0.8055196205260888,0.09448037947391119,14.319767951965332
1,0.075,robust_risk_mondrian,weather_outage,non_ramp,21105,0.966453447050462,0.0,5.059184551239014
1,0.075,robust_risk_mondrian,weather_outage,ramp,2319,0.7046140577835274,0.19538594221647265,11.650484085083008
1,0.075,robust_rolling_cqr,clean,non_ramp,21105,0.9619995261786306,0.0,4.726803302764893
1,0.075,robust_rolling_cqr,clean,ramp,2319,0.6554549374730487,0.2445450625269513,10.607992172241211
1,0.075,robust_rolling_cqr,combined_outage,non_ramp,21105,0.9238095238095239,0.0,8.438148498535156
1,0.075,robust_rolling_cqr,combined_outage,ramp,2319,0.7399741267787839,0.1600258732212161,14.092350006103516
1,0.075,robust_rolling_cqr,irradiance_outage,non_ramp,21105,0.9635631366974651,0.0,5.313196659088135
