station,fold,horizon_steps,method,condition,ramp_group,n,coverage,coverage_error,mean_width,median_width,interval_score,mae,rmse,undercoverage_error,overcoverage_error,normalized_width,normalized_interval_score,ramp_prevalence
CSGS2,q1_2020,1,clean_condition_cqr,clean,non_ramp,5641,0.9425633752880694,0.042563375288069416,8.984411952051452,7.129280090332031,11.269781838950781,1.8032713597470342,3.2771524553252327,0.0,0.042563375288069416,0.06911086116962656,0.08669062953039063,
CSGS2,q1_2020,1,clean_condition_cqr,clean,ramp,183,0.24043715846994534,0.6595628415300547,20.225135269549376,20.12411880493164,135.81603259255326,15.156525022345162,16.910839863744407,0.6595628415300547,0.0,0.15557796361191828,1.0447387122504097,0.031421703296703296
CSGS2,q1_2020,1,clean_condition_cqr,combined_outage,non_ramp,5641,0.967913490515866,0.06791349051586593,75.80616348420786,74.86626434326172,82.86888310689915,20.069665849632806,24.069454621038,0.0,0.06791349051586593,0.5831243344939065,0.6374529469761473,
CSGS2,q1_2020,1,clean_condition_cqr,combined_outage,ramp,183,0.907103825136612,0.0071038251366120075,76.93215271162856,76.67575073242188,94.88241623008186,25.56486439770037,32.38223120642007,0.0,0.0071038251366120075,0.5917857900894504,0.7298647402313989,0.031421703296703296
CSGS2,q1_2020,1,clean_condition_cqr,irradiance_outage,non_ramp,5641,0.9487679489452224,0.048767948945222406,14.970857885002989,9.67596435546875,16.570953285088805,1.9957119884883083,3.4712583686653407,0.0,0.048767948945222406,0.11516044526925376,0.12746887142376004,
CSGS2,q1_2020,1,clean_condition_cqr,irradiance_outage,ramp,183,0.366120218579235,0.533879781420765,25.07027630597516,24.87409782409668,110.13417330595965,14.996710599445906,16.835971254086086,0.533879781420765,0.0,0.192848279276732,0.8471859485073819,0.031421703296703296
CSGS2,q1_2020,1,clean_condition_cqr,recent_power_outage,non_ramp,5641,0.9702180464456657,0.07021804644566565,73.82447984678866,72.57988739013672,79.41695590425819,18.206218065713458,22.57988868278381,0.0,0.07021804644566565,0.5678806142060666,0.6108996608019861,
CSGS2,q1_2020,1,clean_condition_cqr,recent_power_outage,ramp,183,0.912568306010929,0.012568306010928953,76.59218676624403,77.06336975097656,93.33698593723318,25.0411110178369,31.80663358145076,0.0,0.012568306010928953,0.5891706674326463,0.7179768149017937,0.031421703296703296
CSGS2,q1_2020,1,clean_condition_cqr,weather_outage,non_ramp,5641,0.9409679134905159,0.04096791349051587,9.109238180138226,7.5102386474609375,11.636974835672584,1.859228433537591,3.3769863453503457,0.0,0.04096791349051587,0.0700710629241402,0.08951519104363526,
CSGS2,q1_2020,1,clean_condition_cqr,weather_outage,ramp,183,0.22950819672131148,0.6704918032786885,20.121620979791132,20.297534942626953,143.52497035851243,15.42170213415323,17.069285323285076,0.6704918032786885,0.0,0.15478169984454718,1.1040382335270187,0.031421703296703296
CSGS2,q1_2020,1,lgbm_condition_cqr,clean,non_ramp,5641,0.9487679489452224,0.048767948945222406,11.295354784891538,8.068921089172363,12.510140461587403,1.7135818662461004,3.1195349578759837,0.0,0.048767948945222406,0.08688734449916567,0.09623184970451848,
CSGS2,q1_2020,1,lgbm_condition_cqr,clean,ramp,183,0.31693989071038253,0.5830601092896175,25.088260569859074,24.42190170288086,116.12664449931493,15.694247458801895,17.362693061265936,0.5830601092896175,0.0,0.1929866197681467,0.8932818807639611,0.031421703296703296
CSGS2,q1_2020,1,lgbm_condition_cqr,combined_outage,non_ramp,5641,0.9664953022513739,0.0664953022513739,74.52397699868335,76.34880065917969,81.29074032977421,21.064312429880392,25.033477424252297,0.0,0.0664953022513739,0.5732613615283335,0.6253133871521093,
CSGS2,q1_2020,1,lgbm_condition_cqr,combined_outage,ramp,183,0.8961748633879781,0.0038251366120218844,75.99424543537077,76.92071533203125,95.36565420015262,25.886363206013957,32.9868465382062,0.0038251366120218844,0.0,0.5845711187336213,0.7335819553857894,0.031421703296703296
CSGS2,q1_2020,1,lgbm_condition_cqr,irradiance_outage,non_ramp,5641,0.929622407374579,0.029622407374578996,13.55779709527203,8.868457794189453,14.461595990355203,2.269796274293348,3.2709885604247937,0.0,0.029622407374578996,0.10429074688670792,0.1112430460796554,
CSGS2,q1_2020,1,lgbm_condition_cqr,irradiance_outage,ramp,183,0.3551912568306011,0.5448087431693989,27.387225999206795,26.20861053466797,104.02564648722038,15.424856370264063,17.128627993636794,0.5448087431693989,0.0,0.21067096922466766,0.800197280670926,0.031421703296703296
CSGS2,q1_2020,1,lgbm_condition_cqr,recent_power_outage,non_ramp,5641,0.9659634816521894,0.06596348165218935,74.89039155080627,76.16981506347656,81.64954569356236,20.45609368687006,24.326891599206185,0.0,0.06596348165218935,0.5760799350062021,0.6280734284120182,
CSGS2,q1_2020,1,lgbm_condition_cqr,recent_power_outage,ramp,183,0.8961748633879781,0.0038251366120218844,76.20444071618586,77.11178588867188,95.90659499038112,24.88569055815212,31.876596070231265,0.0038251366120218844,0.0,0.586188005509122,0.7377430383875471,0.031421703296703296
CSGS2,q1_2020,1,lgbm_condition_cqr,weather_outage,non_ramp,5641,0.9505406842758376,0.05054068427583758,11.32769244609273,8.098598003387451,12.628247364117291,1.720740075756252,3.1133060755049042,0.0,0.05054068427583758,0.08713609573917484,0.09714036433936378,
CSGS2,q1_2020,1,lgbm_condition_cqr,weather_outage,ramp,183,0.3005464480874317,0.5994535519125683,24.86669036860023,24.142318725585938,119.28811199026681,15.834405335572248,17.442649551167772,0.5994535519125683,0.0,0.19128223360461716,0.9176008614635909,0.031421703296703296
CSGS2,q1_2020,1,oracle_ramp_mondrian,clean,non_ramp,5641,0.9012586420847367,0.0012586420847366941,11.241570328809209,7.6230034828186035,13.175267186523689,2.0574736356156724,3.7064092455850908,0.0,0.0012586420847366941,0.08647361791391699,0.1013482091271053,
CSGS2,q1_2020,1,oracle_ramp_mondrian,clean,ramp,183,0.8961748633879781,0.0038251366120218844,47.3131968719386,47.14690113067627,56.82251021298554,14.73973827609599,16.73139588692348,0.0038251366120218844,0.0,0.36394766824568153,0.4370962324075811,0.031421703296703296
CSGS2,q1_2020,1,oracle_ramp_mondrian,combined_outage,non_ramp,5641,0.8487856762985286,0.05121432370147139,16.65854911573171,14.408937454223633,32.14678792122296,4.819693371176752,8.534840669414937,0.05121432370147139,0.0,0.12814268550562855,0.24728298400940738,
CSGS2,q1_2020,1,oracle_ramp_mondrian,combined_outage,ramp,183,0.8907103825136612,0.00928961748633883,52.10105382842444,52.09047031402588,63.64686696418647,13.416071250139039,16.079593105099413,0.00928961748633883,0.0,0.4007773371417265,0.48959128433989596,0.031421703296703296
CSGS2,q1_2020,1,oracle_ramp_mondrian,irradiance_outage,non_ramp,5641,0.9120723276014892,0.01207232760148913,12.849007048583204,9.101819515228271,14.4038824447449,2.189181113847761,3.9221988960582284,0.0,0.01207232760148913,0.09883851575833233,0.11079909572880692,
CSGS2,q1_2020,1,oracle_ramp_mondrian,irradiance_outage,ramp,183,0.8743169398907104,0.025683060109289668,47.34855905405241,46.35658645629883,58.32219865952766,15.06599006691917,16.92423042988765,0.025683060109289668,0.0,0.36421968503117236,0.448632297380982,0.031421703296703296
CSGS2,q1_2020,1,oracle_ramp_mondrian,recent_power_outage,non_ramp,5641,0.8234355610707321,0.0765644389292679,15.96458639301184,12.53172779083252,28.922102008365588,4.835724268859476,8.640821126116448,0.0765644389292679,0.0,0.1228045107154757,0.22247770775665837,
CSGS2,q1_2020,1,oracle_ramp_mondrian,recent_power_outage,ramp,183,0.8688524590163934,0.031147540983606614,48.86826232743393,47.92238998413086,62.88716537965451,13.641317960994492,16.098242138798753,0.031147540983606614,0.0,0.37590971021103026,0.4837474259973424,0.031421703296703296
CSGS2,q1_2020,1,oracle_ramp_mondrian,weather_outage,non_ramp,5641,0.9218223719198724,0.021822371919872352,11.128428502880372,7.78670597076416,13.202048986621875,2.0796214569729177,3.7515186116990753,0.0,0.021822371919872352,0.08560329617600286,0.10155422297401442,
CSGS2,q1_2020,1,oracle_ramp_mondrian,weather_outage,ramp,183,0.8797814207650273,0.020218579234972722,45.3479792228162,45.15869617462158,57.63674967699364,14.946985535934322,16.847534062163856,0.020218579234972722,0.0,0.34883060940627847,0.44335961289995107,0.031421703296703296
CSGS2,q1_2020,1,persistence_condition_cqr,clean,non_ramp,5641,0.9714589611770963,0.07145896117709627,15.337580554685236,19.494060516357422,16.134419761636412,2.1356430428445687,3.517713818929225,0.0,0.07145896117709627,0.11798138888219412,0.12411092124335701,
CSGS2,q1_2020,1,persistence_condition_cqr,clean,ramp,183,0.0,0.9,19.43388830377756,19.494064331054688,209.09504342860862,19.230089876821133,20.145417343708306,0.9,0.0,0.14949144849059662,1.608423410989297,0.031421703296703296
CSGS2,q1_2020,1,persistence_condition_cqr,combined_outage,non_ramp,5641,0.9659634816521894,0.06596348165218935,76.7530437763612,66.80799102783203,83.15195800766594,15.085333813221567,23.563180264190486,0.0,0.06596348165218935,0.5904080290489323,0.639630446212815,
CSGS2,q1_2020,1,persistence_condition_cqr,combined_outage,ramp,183,0.8579234972677595,0.042076502732240506,86.6200632420394,87.81055450439453,112.33956897942747,34.99456655091601,39.843849704286576,0.042076502732240506,0.0,0.6663081787849184,0.8641505306109806,0.031421703296703296
CSGS2,q1_2020,1,persistence_condition_cqr,irradiance_outage,non_ramp,5641,0.9714589611770963,0.07145896117709627,15.337580554685236,19.494060516357422,16.134419761636412,2.1356430428445687,3.517713818929225,0.0,0.07145896117709627,0.11798138888219412,0.12411092124335701,
CSGS2,q1_2020,1,persistence_condition_cqr,irradiance_outage,ramp,183,0.0,0.9,19.43388830377756,19.494064331054688,209.09504342860862,19.230089876821133,20.145417343708306,0.9,0.0,0.14949144849059662,1.608423410989297,0.031421703296703296
CSGS2,q1_2020,1,persistence_condition_cqr,recent_power_outage,non_ramp,5641,0.9659634816521894,0.06596348165218935,76.7530437763612,66.80799102783203,83.15195800766594,15.085333813221567,23.563180264190486,0.0,0.06596348165218935,0.5904080290489323,0.639630446212815,
CSGS2,q1_2020,1,persistence_condition_cqr,recent_power_outage,ramp,183,0.8579234972677595,0.042076502732240506,86.6200632420394,87.81055450439453,112.33956897942747,34.99456655091601,39.843849704286576,0.042076502732240506,0.0,0.6663081787849184,0.8641505306109806,0.031421703296703296
CSGS2,q1_2020,1,persistence_condition_cqr,weather_outage,non_ramp,5641,0.9714589611770963,0.07145896117709627,15.337580554685236,19.494060516357422,16.134419761636412,2.1356430428445687,3.517713818929225,0.0,0.07145896117709627,0.11798138888219412,0.12411092124335701,
CSGS2,q1_2020,1,persistence_condition_cqr,weather_outage,ramp,183,0.0,0.9,19.43388830377756,19.494064331054688,209.09504342860862,19.230089876821133,20.145417343708306,0.9,0.0,0.14949144849059662,1.608423410989297,0.031421703296703296
CSGS2,q1_2020,1,robust_condition_cqr,clean,non_ramp,5641,0.9301542279737636,0.030154227973763548,11.2502415458312,7.631674289703369,13.176960564599014,2.0574736356156724,3.7064092455850908,0.0,0.030154227973763548,0.08654031958331693,0.10136123511230011,
CSGS2,q1_2020,1,robust_condition_cqr,clean,ramp,183,0.3879781420765027,0.5120218579234973,23.997125679026535,23.729023933410645,108.79016822934803,14.73973827609599,16.73139588692348,0.5120218579234973,0.0,0.18459327445405027,0.8368474479180618,0.031421703296703296
CSGS2,q1_2020,1,robust_condition_cqr,combined_outage,non_ramp,5641,0.8741357915263251,0.025864208473674877,17.8970070645894,15.817261695861816,31.302119643428256,4.819693371176752,8.534840669414937,0.025864208473674877,0.0,0.13766928511222615,0.2407855357186789,
CSGS2,q1_2020,1,robust_condition_cqr,combined_outage,ramp,183,0.6338797814207651,0.26612021857923496,30.892202390673383,31.083667755126953,90.2229817503137,13.416071250139039,16.079593105099413,0.26612021857923496,0.0,0.23763232608210294,0.6940229365408747,0.031421703296703296
CSGS2,q1_2020,1,robust_condition_cqr,irradiance_outage,non_ramp,5641,0.9305087750398865,0.03050877503988647,12.853256401047705,9.106069087982178,14.404797425997149,2.189181113847761,3.9221988960582284,0.0,0.03050877503988647,0.09887120308498235,0.11080613404613192,
CSGS2,q1_2020,1,robust_condition_cqr,irradiance_outage,ramp,183,0.43169398907103823,0.4683060109289618,26.078873059137273,25.006702423095703,101.05024989250579,15.06599006691917,16.92423042988765,0.4683060109289618,0.0,0.20060671583951747,0.7773096145577368,0.031421703296703296
CSGS2,q1_2020,1,robust_condition_cqr,recent_power_outage,non_ramp,5641,0.8519765998936358,0.04802340010636419,16.03086373897293,12.598004341125488,28.886176952300733,4.835724268859476,8.640821126116448,0.04802340010636419,0.0,0.12331433645363792,0.2222013611715441,
CSGS2,q1_2020,1,robust_condition_cqr,recent_power_outage,ramp,183,0.5191256830601093,0.3808743169398907,29.56717895158653,28.538482666015625,94.69334395335672,13.641317960994492,16.098242138798753,0.3808743169398907,0.0,0.22743983808912716,0.728410338102744,0.031421703296703296
CSGS2,q1_2020,1,robust_condition_cqr,weather_outage,non_ramp,5641,0.9356497074986705,0.03564970749867047,11.148739803285912,7.807016372680664,13.208673483298679,2.0796214569729177,3.7515186116990753,0.0,0.03564970749867047,0.08575953694835317,0.10160518064075906,
CSGS2,q1_2020,1,robust_condition_cqr,weather_outage,ramp,183,0.3825136612021858,0.5174863387978142,24.007368767196365,23.741705894470215,110.33077687057641,14.946985535934322,16.847534062163856,0.5174863387978142,0.0,0.18467206743997203,0.8486982836198186,0.031421703296703296
CSGS2,q1_2020,1,robust_local_cqr,clean,non_ramp,5641,0.9475270342137919,0.0475270342137919,13.480512427745106,9.98198652267456,14.116221868494476,2.0574736356156724,3.7064092455850908,0.0,0.0475270342137919,0.10369624944419312,0.10858632206534212,
CSGS2,q1_2020,1,robust_local_cqr,clean,ramp,183,0.5846994535519126,0.31530054644808747,30.853041362241317,30.256412506103516,82.3646503693419,14.73973827609599,16.73139588692348,0.31530054644808747,0.0,0.2373310874018563,0.6335742336103223,0.031421703296703296
CSGS2,q1_2020,1,robust_local_cqr,combined_outage,non_ramp,5641,0.8806949122496012,0.019305087750398853,19.4103732481409,17.052753448486328,28.30821063230516,4.819693371176752,8.534840669414937,0.019305087750398853,0.0,0.1493105634472377,0.21775546640234736,
CSGS2,q1_2020,1,robust_local_cqr,combined_outage,ramp,183,0.7049180327868853,0.19508196721311477,35.05285742830058,35.29570388793945,81.46837499298033,13.416071250139039,16.079593105099413,0.19508196721311477,0.0,0.26963736483308137,0.6266798076383102,0.031421703296703296
CSGS2,q1_2020,1,robust_local_cqr,irradiance_outage,non_ramp,5641,0.9601134550611594,0.06011345506115939,14.915167824545405,11.95677375793457,15.481465093089566,2.189181113847761,3.9221988960582284,0.0,0.06011345506115939,0.11473206018881081,0.1190881930237659,
CSGS2,q1_2020,1,robust_local_cqr,irradiance_outage,ramp,183,0.5901639344262295,0.3098360655737705,31.298582530412517,29.728532791137695,81.63900234920732,15.06599006691917,16.92423042988765,0.3098360655737705,0.0,0.24075832715701936,0.6279923257631332,0.031421703296703296
CSGS2,q1_2020,1,robust_local_cqr,recent_power_outage,non_ramp,5641,0.8684630384683567,0.031536961531643315,18.086615190054292,16.41001033782959,26.359003460299608,4.835724268859476,8.640821126116448,0.031536961531643315,0.0,0.1391278091542638,0.20276156507922774,
CSGS2,q1_2020,1,robust_local_cqr,recent_power_outage,ramp,183,0.6612021857923497,0.23879781420765034,33.39236034330774,33.34658622741699,80.3238633968791,13.641317960994492,16.098242138798753,0.23879781420765034,0.0,0.2568643103331365,0.6178758722836855,0.031421703296703296
CSGS2,q1_2020,1,robust_local_cqr,weather_outage,non_ramp,5641,0.9609998227264669,0.06099982272646687,13.345685414620572,9.473841667175293,14.058807766519024,2.0796214569729177,3.7515186116990753,0.0,0.06099982272646687,0.10265911857400441,0.10814467512706942,
CSGS2,q1_2020,1,robust_local_cqr,weather_outage,ramp,183,0.5519125683060109,0.34808743169398915,30.690367101971567,30.712554931640625,85.06903399274648,14.946985535934322,16.847534062163856,0.34808743169398915,0.0,0.23607974693824282,0.6543771845595884,0.031421703296703296
CSGS2,q1_2020,1,robust_risk_mondrian,clean,non_ramp,5641,0.9273178514447793,0.027317851444779273,12.537295675857472,8.610374450683594,13.675112724927283,2.0574736356156724,3.7064092455850908,0.0,0.027317851444779273,0.09644073596813439,0.10519317480713294,
CSGS2,q1_2020,1,robust_risk_mondrian,clean,ramp,183,0.5081967213114754,0.3918032786885246,27.720996916619807,27.135669708251953,91.78577696690795,14.73973827609599,16.73139588692348,0.3918032786885246,0.0,0.21323843782015237,0.7060444382069841,0.031421703296703296
CSGS2,q1_2020,1,robust_risk_mondrian,combined_outage,non_ramp,5641,0.8695266796667258,0.030473320333274212,18.37889182586583,15.05228191614151,29.549357212734872,4.819693371176752,8.534840669414937,0.030473320333274212,0.0,0.14137609096819867,0.22730274779026824,
CSGS2,q1_2020,1,robust_risk_mondrian,combined_outage,ramp,183,0.6721311475409836,0.22786885245901645,33.037646404828855,33.68251609802246,85.48963545625165,13.416071250139039,16.079593105099413,0.22786885245901645,0.0,0.2541357415756066,0.657612580432705,0.031421703296703296
CSGS2,q1_2020,1,robust_risk_mondrian,irradiance_outage,non_ramp,5641,0.930331501506825,0.030331501506824954,13.808467288942385,9.844938278198242,14.843529497320494,2.189181113847761,3.9221988960582284,0.0,0.030331501506824954,0.10621897914571066,0.11418099613323457,
CSGS2,q1_2020,1,robust_risk_mondrian,irradiance_outage,ramp,183,0.5136612021857924,0.38633879781420766,29.216624051495327,28.223791122436523,88.3115615245423,15.06599006691917,16.92423042988765,0.38633879781420766,0.0,0.22474326193457944,0.6793197040349408,0.031421703296703296
CSGS2,q1_2020,1,robust_risk_mondrian,recent_power_outage,non_ramp,5641,0.8424038291083141,0.057596170891685894,16.097934786360092,12.797396183013916,28.902111317876887,4.835724268859476,8.640821126116448,0.057596170891685894,0.0,0.12383026758738533,0.22232393321443758,
CSGS2,q1_2020,1,robust_risk_mondrian,recent_power_outage,ramp,183,0.5245901639344263,0.37540983606557377,29.672486974241956,28.820178985595703,94.42593890786823,13.641317960994492,16.098242138798753,0.37540983606557377,0.0,0.2282498998018612,0.726353376214371,0.031421703296703296
CSGS2,q1_2020,1,robust_risk_mondrian,weather_outage,non_ramp,5641,0.9466406665484843,0.04664066654848431,12.521024240338601,8.432577133178711,13.701888023585493,2.0796214569729177,3.7515186116990753,0.0,0.04664066654848431,0.0963155710795277,0.10539913864296534,
CSGS2,q1_2020,1,robust_risk_mondrian,weather_outage,ramp,183,0.5027322404371585,0.39726775956284155,27.754164244959263,27.80136013031006,94.04981354676961,14.946985535934322,16.847534062163856,0.39726775956284155,0.0,0.21349357111507125,0.7234601042059201,0.031421703296703296
CSGS2,q1_2020,1,robust_rolling_cqr,clean,non_ramp,5641,0.9161496188619039,0.016149618861903914,11.258027102874097,7.621485710144043,13.182973956575909,2.0574736356156724,3.7064092455850908,0.0,0.016149618861903914,0.0866002084836469,0.10140749197366083,
CSGS2,q1_2020,1,robust_rolling_cqr,clean,ramp,183,0.3879781420765027,0.5120218579234973,24.005830380434546,23.748889923095703,108.76055867424428,14.73973827609599,16.73139588692348,0.5120218579234973,0.0,0.18466023369565035,0.8366196821095714,0.031421703296703296
CSGS2,q1_2020,1,robust_rolling_cqr,combined_outage,non_ramp,5641,0.9024995568161673,0.0024995568161673143,21.067742286712615,17.875396728515625,29.206257298623104,4.819693371176752,8.534840669414937,0.0,0.0024995568161673143,0.1620595560516355,0.2246635176817162,
CSGS2,q1_2020,1,robust_rolling_cqr,combined_outage,ramp,183,0.6502732240437158,0.24972677595628423,32.29563403292432,31.28938865661621,87.32647725434903,13.416071250139039,16.079593105099413,0.24972677595628423,0.0,0.24842795409941784,0.6717421327257618,0.031421703296703296
CSGS2,q1_2020,1,robust_rolling_cqr,irradiance_outage,non_ramp,5641,0.9239496543166106,0.023949654316610558,12.85410499522828,9.127269744873047,14.405941646800377,2.189181113847761,3.9221988960582284,0.0,0.023949654316610558,0.09887773073252523,0.11081493574461829,
CSGS2,q1_2020,1,robust_rolling_cqr,irradiance_outage,ramp,183,0.43169398907103823,0.4683060109289618,26.0842411830777,25.00967788696289,101.02633906843884,15.06599006691917,16.92423042988765,0.4683060109289618,0.0,0.2006480091005977,0.7771256851418372,0.031421703296703296
CSGS2,q1_2020,1,robust_rolling_cqr,recent_power_outage,non_ramp,5641,0.9056904804112746,0.005690480411274623,19.300283802741355,15.95333480834961,26.90229815279984,4.835724268859476,8.640821126116448,0.0,0.005690480411274623,0.14846372155954887,0.20694075502153722,
CSGS2,q1_2020,1,robust_rolling_cqr,recent_power_outage,ramp,183,0.5792349726775956,0.3207650273224044,31.56124338491367,30.54078483581543,87.74932385207525,13.641317960994492,16.098242138798753,0.3207650273224044,0.0,0.2427787952685667,0.6749947988621173,0.031421703296703296
CSGS2,q1_2020,1,robust_rolling_cqr,weather_outage,non_ramp,5641,0.9209360042545648,0.020936004254564766,11.137219827538718,7.791962623596191,13.206461262529539,2.0796214569729177,3.7515186116990753,0.0,0.020936004254564766,0.08567092175029783,0.10158816355791953,
CSGS2,q1_2020,1,robust_rolling_cqr,weather_outage,ramp,183,0.3825136612021858,0.5174863387978142,23.990807858321183,23.727932929992676,110.425807634338,14.946985535934322,16.847534062163856,0.5174863387978142,0.0,0.18454467583323986,0.8494292894949077,0.031421703296703296
CSGS2,q1_2020,4,clean_condition_cqr,clean,non_ramp,5351,0.9258082601382919,0.02580826013829185,18.863522599838323,16.841859817504883,27.750159271090137,4.441913601729414,8.161761625416188,0.0,0.02580826013829185,0.14510401999875633,0.21346276362377029,
CSGS2,q1_2020,4,clean_condition_cqr,clean,ramp,473,0.6131078224101479,0.2868921775898521,29.68435768969357,28.584692001342773,92.15190458115403,13.471089915228697,17.387607453444364,0.2868921775898521,0.0,0.22834121299764285,0.7088608044704156,0.08121565934065934
CSGS2,q1_2020,4,clean_condition_cqr,combined_outage,non_ramp,5351,0.9435619510371893,0.043561951037189295,56.84736917224571,55.033626556396484,65.47673141756107,14.95651842581966,19.64004602322768,0.0,0.043561951037189295,0.4372874551711209,0.5036671647504698,
CSGS2,q1_2020,4,clean_condition_cqr,combined_outage,ramp,473,0.9281183932346723,0.028118393234672245,59.488774292690806,65.62247705459595,70.4552980902079,15.787179571566572,21.61005937417069,0.0,0.028118393234672245,0.45760595609762156,0.5419638314631378,0.08121565934065934
CSGS2,q1_2020,4,clean_condition_cqr,irradiance_outage,non_ramp,5351,0.9069332834984115,0.006933283498411491,28.006373680927002,29.5197811126709,39.27896872517961,5.5800516349632465,9.349639197829068,0.0,0.006933283498411491,0.2154336436994385,0.30214591327061235,
CSGS2,q1_2020,4,clean_condition_cqr,irradiance_outage,ramp,473,0.6871035940803383,0.21289640591966175,33.05412477494294,32.01069927215576,80.39284674007344,12.937392917483352,16.727685034284153,0.21289640591966175,0.0,0.2542624982687919,0.6184065133851803,0.08121565934065934
CSGS2,q1_2020,4,clean_condition_cqr,recent_power_outage,non_ramp,5351,0.9547748084470192,0.05477480844701921,51.94119860729371,46.69449234008789,57.56239552268596,12.775908183094728,18.197889568427563,0.0,0.05477480844701921,0.399547681594567,0.44278765786681507,
