station,fold,horizon_steps,method,condition,ramp_direction,n,coverage,undercoverage_error,mean_width,normalized_width,mean_interval_score
CSGS2,q1_2020,1,clean_condition_cqr,clean,down,96,0.25,0.65,20.936447143554688,0.16104958951473236,139.48345947265625
CSGS2,q1_2020,1,clean_condition_cqr,clean,up,87,0.22988505747126436,0.6701149425287356,19.44023895263672,0.14954030513763428,131.7692108154297
CSGS2,q1_2020,1,clean_condition_cqr,combined_outage,down,96,0.9895833333333334,0.0,75.9975357055664,0.5845964550971985,76.14470672607422
CSGS2,q1_2020,1,clean_condition_cqr,combined_outage,up,87,0.8160919540229885,0.08390804597701151,77.96345520019531,0.5997188687324524,115.55850219726562
CSGS2,q1_2020,1,clean_condition_cqr,irradiance_outage,down,96,0.53125,0.36875,28.678937911987305,0.2206072211265564,87.92772674560547
CSGS2,q1_2020,1,clean_condition_cqr,irradiance_outage,up,87,0.1839080459770115,0.7160919540229885,21.088302612304688,0.16221770644187927,134.63784790039062
CSGS2,q1_2020,1,clean_condition_cqr,recent_power_outage,down,96,1.0,0.0,74.98922729492188,0.5768402218818665,74.98922729492188
CSGS2,q1_2020,1,clean_condition_cqr,recent_power_outage,up,87,0.8160919540229885,0.08390804597701151,78.36097717285156,0.6027767658233643,113.5827865600586
CSGS2,q1_2020,1,clean_condition_cqr,weather_outage,down,96,0.23958333333333334,0.6604166666666667,21.217208862304688,0.16320930421352386,148.35484313964844
CSGS2,q1_2020,1,clean_condition_cqr,weather_outage,up,87,0.21839080459770116,0.6816091954022989,18.912694931030273,0.14548227190971375,138.19544982910156
CSGS2,q1_2020,1,lgbm_condition_cqr,clean,down,96,0.3125,0.5875,25.14951515197754,0.19345781207084656,112.2322998046875
CSGS2,q1_2020,1,lgbm_condition_cqr,clean,up,87,0.3218390804597701,0.57816091954023,25.020662307739258,0.1924666315317154,120.42385864257812
CSGS2,q1_2020,1,lgbm_condition_cqr,combined_outage,down,96,0.9895833333333334,0.0,74.41594696044922,0.5724303722381592,74.86195373535156
CSGS2,q1_2020,1,lgbm_condition_cqr,combined_outage,up,87,0.7931034482758621,0.10689655172413792,77.7358169555664,0.597967803478241,117.99043273925781
CSGS2,q1_2020,1,lgbm_condition_cqr,irradiance_outage,down,96,0.3645833333333333,0.5354166666666667,27.990135192871094,0.21530872583389282,101.7156982421875
CSGS2,q1_2020,1,lgbm_condition_cqr,irradiance_outage,up,87,0.3448275862068966,0.5551724137931034,26.721946716308594,0.20555344223976135,106.57457733154297
CSGS2,q1_2020,1,lgbm_condition_cqr,recent_power_outage,down,96,0.9895833333333334,0.0,74.16806030273438,0.5705235600471497,74.5777359008789
CSGS2,q1_2020,1,lgbm_condition_cqr,recent_power_outage,up,87,0.7931034482758621,0.10689655172413792,78.45147705078125,0.603472888469696,119.44187927246094
CSGS2,q1_2020,1,lgbm_condition_cqr,weather_outage,down,96,0.3125,0.5875,25.10420036315918,0.19310922920703888,113.9302749633789
CSGS2,q1_2020,1,lgbm_condition_cqr,weather_outage,up,87,0.28735632183908044,0.6126436781609196,24.604610443115234,0.18926623463630676,125.20020294189453
CSGS2,q1_2020,1,oracle_ramp_mondrian,clean,down,96,0.90625,0.0,47.86773681640625,0.36821335554122925,59.12363052368164
CSGS2,q1_2020,1,oracle_ramp_mondrian,clean,up,87,0.8850574712643678,0.014942528735632177,46.7012939453125,0.35924071073532104,54.28334426879883
CSGS2,q1_2020,1,oracle_ramp_mondrian,combined_outage,down,96,0.8541666666666666,0.04583333333333339,55.378662109375,0.42598971724510193,71.94367218017578
