horizon_steps,method,held_out_station,remaining_stations,mean_improvement,stations_improved_prop,max_method_worst_undercoverage
1,robust_local_cqr,CSGS2,4,0.11105101043213327,1.0,0.44411764705882356
1,robust_local_cqr,CSGS5,4,0.11696901592953864,1.0,0.44411764705882356
1,robust_local_cqr,CSGS6,4,0.12134131001097313,1.0,0.44411764705882356
1,robust_local_cqr,CSGS7,4,0.11617137309263388,1.0,0.44411764705882356
1,robust_local_cqr,CSGS8,4,0.1184128639394067,1.0,0.3777448071216617
1,robust_risk_mondrian,CSGS2,4,0.09052248500857721,1.0,0.4661764705882353
1,robust_risk_mondrian,CSGS5,4,0.09577143028096011,1.0,0.4661764705882353
1,robust_risk_mondrian,CSGS6,4,0.08591720968186989,1.0,0.4661764705882353
1,robust_risk_mondrian,CSGS7,4,0.07948539729634019,1.0,0.4661764705882353
1,robust_risk_mondrian,CSGS8,4,0.08782040938336677,1.0,0.4400593471810089
1,robust_rolling_cqr,CSGS2,4,0.005794666748232424,0.75,0.5617647058823529
1,robust_rolling_cqr,CSGS5,4,0.005396817946128285,0.5,0.5617647058823529
1,robust_rolling_cqr,CSGS6,4,-0.0001561399166710442,0.5,0.5617647058823529
1,robust_rolling_cqr,CSGS7,4,0.004510420172889967,0.5,0.5617647058823529
1,robust_rolling_cqr,CSGS8,4,0.007632902042350065,0.75,0.5174863387978142
4,robust_local_cqr,CSGS2,4,0.08175913849183446,1.0,0.3761904761904762
4,robust_local_cqr,CSGS5,4,0.1002749241495194,1.0,0.3761904761904762
4,robust_local_cqr,CSGS6,4,0.08029162458440887,1.0,0.3761904761904762
4,robust_local_cqr,CSGS7,4,0.08249365918702038,1.0,0.3761904761904762
4,robust_local_cqr,CSGS8,4,0.10483877203658426,1.0,0.17484143763213533
4,robust_risk_mondrian,CSGS2,4,0.047604533039951866,1.0,0.3848484848484849
4,robust_risk_mondrian,CSGS5,4,0.06876004930834688,1.0,0.3848484848484849
4,robust_risk_mondrian,CSGS6,4,0.06338453389195377,1.0,0.3848484848484849
4,robust_risk_mondrian,CSGS7,4,0.06190512632172453,1.0,0.3848484848484849
4,robust_risk_mondrian,CSGS8,4,0.07333640697231847,1.0,0.20446927374301682
4,robust_rolling_cqr,CSGS2,4,0.030689674342174192,1.0,0.40216450216450217
4,robust_rolling_cqr,CSGS5,4,0.03657302746847925,1.0,0.40216450216450217
4,robust_rolling_cqr,CSGS6,4,0.022565936640354098,1.0,0.40216450216450217
4,robust_rolling_cqr,CSGS7,4,0.03027823819476398,1.0,0.40216450216450217
4,robust_rolling_cqr,CSGS8,4,0.03859262410558906,1.0,0.26152219873150107
