station,horizon_steps,method,baseline_worst_undercoverage,method_worst_undercoverage,improvement,delta_method_minus_baseline,clean_score_ratio,method_mean_normalized_interval_score
CSGS2,1,robust_risk_mondrian,0.5174863387978142,0.4400593471810089,0.07742699161680533,-0.07742699161680533,0.8969101841347328,0.4284936521389297
CSGS2,4,robust_risk_mondrian,0.2974630021141649,0.17289048473967683,0.12457251737448805,-0.12457251737448805,0.9263418080266903,0.4080041019703679
CSGS5,1,robust_risk_mondrian,0.36960486322188457,0.31317365269461084,0.056431210527273734,-0.056431210527273734,0.932219391252597,0.4953892140403209
CSGS5,4,robust_risk_mondrian,0.2065250379362671,0.1665745856353591,0.03995045230090799,-0.03995045230090799,0.9683741511184434,0.5501613058784065
CSGS6,1,robust_risk_mondrian,0.3974874371859297,0.3016393442622951,0.09584809292363461,-0.09584809292363461,0.9018183730781778,0.4448419284427206
CSGS6,4,robust_risk_mondrian,0.26592178770949726,0.20446927374301682,0.06145251396648044,-0.06145251396648044,0.9551891620370806,0.38908179994796405
CSGS7,1,robust_risk_mondrian,0.35376712328767124,0.23219178082191783,0.12157534246575341,-0.12157534246575341,0.8812696564540409,0.47877350288114917
CSGS7,4,robust_risk_mondrian,0.20959446092977252,0.14222431668237512,0.0673701442473974,-0.0673701442473974,0.9527721800870593,0.443986751961266
CSGS8,1,robust_risk_mondrian,0.5544117647058824,0.4661764705882353,0.08823529411764708,-0.08823529411764708,0.9030745839255804,0.2350399566642257
CSGS8,4,robust_risk_mondrian,0.4064935064935065,0.3848484848484849,0.021645021645021634,-0.021645021645021634,0.9667191279000834,0.27792687198917826
CSGS2,1,robust_local_cqr,0.5174863387978142,0.3777448071216617,0.13974153167615255,-0.13974153167615255,0.8299898404989542,0.3995457883771699
CSGS2,4,robust_local_cqr,0.2974630021141649,0.17484143763213533,0.12262156448202954,-0.12262156448202954,0.9085855935419601,0.39122127788213074
CSGS5,1,robust_local_cqr,0.36960486322188457,0.2535353535353535,0.11606950968653107,-0.11606950968653107,0.8948560093377164,0.4761370850625464
CSGS5,4,robust_local_cqr,0.2065250379362671,0.1579666160849773,0.04855842185128978,-0.04855842185128978,0.9471866163058981,0.5370259914687573
CSGS6,1,robust_local_cqr,0.3974874371859297,0.29890710382513663,0.09858033336079308,-0.09858033336079308,0.8975359334716259,0.43724387691070377
CSGS6,4,robust_local_cqr,0.26592178770949726,0.13743016759776538,0.12849162011173187,-0.12849162011173187,0.9327315328208351,0.3752597222030061
CSGS7,1,robust_local_cqr,0.35376712328767124,0.23450704225352115,0.11926008103415009,-0.11926008103415009,0.8703074788353572,0.4707478349442128
CSGS7,4,robust_local_cqr,0.20959446092977252,0.08991097922848668,0.11968348170128584,-0.11968348170128584,0.9450902346936466,0.434874086788165
CSGS8,1,robust_local_cqr,0.5544117647058824,0.44411764705882356,0.11029411764705882,-0.11029411764705882,0.8606489704127012,0.22338433807642755
CSGS8,4,robust_local_cqr,0.4064935064935065,0.3761904761904762,0.03030303030303033,-0.03030303030303033,0.9305624896951474,0.2636642325182532
CSGS2,1,robust_rolling_cqr,0.5174863387978142,0.5174863387978142,0.0,0.0,0.9883276622425945,0.4569593642350996
CSGS2,4,robust_rolling_cqr,0.2974630021141649,0.26152219873150107,0.03594080338266381,-0.03594080338266381,0.9828324258086246,0.4220755028071908
CSGS5,1,robust_rolling_cqr,0.36960486322188457,0.368013468013468,0.0015913952084165572,-0.0015913952084165572,0.9907278666420092,0.5059465339924106
CSGS5,4,robust_rolling_cqr,0.2065250379362671,0.1941176470588235,0.01240739087744358,-0.01240739087744358,1.0008782828439822,0.5576312359592316
CSGS6,1,robust_rolling_cqr,0.3974874371859297,0.37368421052631584,0.023803226659613874,-0.023803226659613874,0.9912309562029534,0.476945138594518
CSGS6,4,robust_rolling_cqr,0.26592178770949726,0.19748603351955307,0.06843575418994419,-0.06843575418994419,0.9789015348924122,0.39091733292336556
CSGS7,1,robust_rolling_cqr,0.35376712328767124,0.3486301369863014,0.005136986301369828,-0.005136986301369828,0.989650518046592,0.5276313497065352
CSGS7,4,robust_rolling_cqr,0.20959446092977252,0.17200791295746787,0.03758654797230465,-0.03758654797230465,0.9970130379890122,0.45902046371291955
CSGS8,1,robust_rolling_cqr,0.5544117647058824,0.5617647058823529,-0.007352941176470562,0.007352941176470562,0.9869844604278384,0.25149228223407255
CSGS8,4,robust_rolling_cqr,0.4064935064935065,0.40216450216450217,0.004329004329004349,-0.004329004329004349,0.9898997365438982,0.28134746625400125
CSGS2,1,oracle_ramp_mondrian,0.5174863387978142,0.0765644389292679,0.44092189986854635,-0.44092189986854635,0.6144042146245571,0.322975568360017
CSGS2,4,oracle_ramp_mondrian,0.2974630021141649,0.07235188509874324,0.22511111701542164,-0.22511111701542164,0.8630347472951435,0.37978096256377797
CSGS5,1,oracle_ramp_mondrian,0.36960486322188457,0.22947805456702253,0.14012680865486205,-0.14012680865486205,0.758115967388891,0.42474952222221296
CSGS5,4,oracle_ramp_mondrian,0.2065250379362671,0.21975138121546967,-0.01322634327920258,0.01322634327920258,0.8911504726224257,0.5178199976162532
