station,fold,horizon_steps,purged_test_daylight_origins_n,future_target_missing_n,target_available_daylight_n,excluded_current_power_missing_n,model_evaluable_n,model_evaluable_origin_sha256,raw_file_sha256,scope,target_interpolated
CSGS2,q1_2020,1,5824,0,5824,0,5824,b0a6ddf5e085a5d4206ab6871f143ae90d99c63f3ba669ad84a66cc952e2b6ff,7f84343f363b9a4cd78bc9c2dc88a9a5ebc571ea47bcb9d7a2def34e09d98d51,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS2,q1_2020,4,5824,0,5824,0,5824,b0a6ddf5e085a5d4206ab6871f143ae90d99c63f3ba669ad84a66cc952e2b6ff,7f84343f363b9a4cd78bc9c2dc88a9a5ebc571ea47bcb9d7a2def34e09d98d51,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS2,q2_2020,1,5824,0,5824,0,5824,2367bb2f5e28bd1b43e0912787a0db1a514d77d84a7920759340feb234e5a078,7f84343f363b9a4cd78bc9c2dc88a9a5ebc571ea47bcb9d7a2def34e09d98d51,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS2,q2_2020,4,5824,0,5824,0,5824,2367bb2f5e28bd1b43e0912787a0db1a514d77d84a7920759340feb234e5a078,7f84343f363b9a4cd78bc9c2dc88a9a5ebc571ea47bcb9d7a2def34e09d98d51,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS2,q3_2020,1,5888,0,5888,0,5888,9bda20db4f3188e06bae57336c24aaa9eccc05ec449548bee47e6e359306c8fc,7f84343f363b9a4cd78bc9c2dc88a9a5ebc571ea47bcb9d7a2def34e09d98d51,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS2,q3_2020,4,5888,0,5888,0,5888,9bda20db4f3188e06bae57336c24aaa9eccc05ec449548bee47e6e359306c8fc,7f84343f363b9a4cd78bc9c2dc88a9a5ebc571ea47bcb9d7a2def34e09d98d51,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS2,q4_2020,1,5888,0,5888,0,5888,5263c5d16993389b82842ed42480af4c0a82ec0ac3709ddfcccb547f85dac6b9,7f84343f363b9a4cd78bc9c2dc88a9a5ebc571ea47bcb9d7a2def34e09d98d51,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS2,q4_2020,4,5888,0,5888,0,5888,5263c5d16993389b82842ed42480af4c0a82ec0ac3709ddfcccb547f85dac6b9,7f84343f363b9a4cd78bc9c2dc88a9a5ebc571ea47bcb9d7a2def34e09d98d51,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS5,q1_2020,1,5824,2020,3804,98,3706,b22bb2c6e9a42be6758ea24a657c824f1623677b41d335117490af035f8690a1,e3910a4cbb66b7df80a7158a1a3718a67294bef5276c364531315657fe89cdd1,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS5,q1_2020,4,5824,2020,3804,365,3439,17f298c81228dce2003a12670902de347110de72f549e180154cc8fab8d9e593,e3910a4cbb66b7df80a7158a1a3718a67294bef5276c364531315657fe89cdd1,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS5,q2_2020,1,5824,1029,4795,97,4698,e2280b0d1933972476801dda78af9b5b8975e27ac9213cd205b8908842e50539,e3910a4cbb66b7df80a7158a1a3718a67294bef5276c364531315657fe89cdd1,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS5,q2_2020,4,5824,1124,4700,274,4426,da8b7b7c6ea5b5ea5f92683d44ec8a67e62102a54c84c1542b80fd41557dab52,e3910a4cbb66b7df80a7158a1a3718a67294bef5276c364531315657fe89cdd1,post_run_population_accounting_no_predictions_for_excluded_origins,False
CSGS5,q3_2020,1,5888,1200,4688,94,4594,4ae2ebaeb4adffeee3f433779284d15e6e8d78aa3627a5e8ef5b4a8ce001b2e1,e3910a4cbb66b7df80a7158a1a3718a67294bef5276c364531315657fe89cdd1,post_run_population_accounting_no_predictions_for_excluded_origins,False
