station,horizon_steps,threshold,candidate_method,candidate_eligible_groups,candidate_worst_undercoverage,baseline_eligible_groups,baseline_worst_undercoverage,test_n,ramp_n,ramp_prevalence,station_improvement,absolute_gate_delta,required_minimum_coverage,candidate_absolute_gate_passed,candidate_stations,candidate_stations_passing_absolute_gate,expected_stations,candidate_station_set_complete,candidate_missing_stations,candidate_all_stations_absolute_gate_passed,is_nominal_threshold,minimum_group_n,aggregation_unit
CSGS2,1,0.075,robust_local_cqr,40,0.300728597449909,40,0.41183970856102003,23424,1769,0.07552083333333333,0.11111111111111105,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS5,1,0.075,robust_local_cqr,40,0.204635761589404,40,0.31803278688524594,16667,2698,0.16187676246475072,0.11339702529584195,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS6,1,0.075,robust_local_cqr,40,0.24259259259259258,40,0.3120370370370371,23424,2573,0.10984460382513661,0.06944444444444453,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS7,1,0.075,robust_local_cqr,40,0.15336322869955155,40,0.23807266982622433,23424,4220,0.1801571038251366,0.08470944112667278,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS8,1,0.075,robust_local_cqr,40,0.2466666666666667,40,0.3566666666666667,23104,1668,0.07219529085872577,0.10999999999999999,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS2,1,0.075,robust_risk_mondrian,40,0.3663023679417122,40,0.41183970856102003,23424,1769,0.07552083333333333,0.04553734061930781,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS5,1,0.075,robust_risk_mondrian,40,0.24437086092715232,40,0.31803278688524594,16667,2698,0.16187676246475072,0.07366192595809362,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS6,1,0.075,robust_risk_mondrian,40,0.2549019607843137,40,0.3120370370370371,23424,2573,0.10984460382513661,0.057135076252723405,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS7,1,0.075,robust_risk_mondrian,40,0.14117053481331987,40,0.23807266982622433,23424,4220,0.1801571038251366,0.09690213501290446,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS8,1,0.075,robust_risk_mondrian,40,0.29000000000000004,40,0.3566666666666667,23104,1668,0.07219529085872577,0.06666666666666665,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS2,1,0.075,robust_rolling_cqr,40,0.3990892531876139,40,0.41183970856102003,23424,1769,0.07552083333333333,0.012750455373406133,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS5,1,0.075,robust_rolling_cqr,40,0.2954918032786885,40,0.31803278688524594,16667,2698,0.16187676246475072,0.02254098360655743,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS6,1,0.075,robust_rolling_cqr,40,0.32592592592592595,40,0.3120370370370371,23424,2573,0.10984460382513661,-0.01388888888888884,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS7,1,0.075,robust_rolling_cqr,40,0.2249299719887955,40,0.23807266982622433,23424,4220,0.1801571038251366,0.01314269783742883,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS8,1,0.075,robust_rolling_cqr,40,0.3866666666666667,40,0.3566666666666667,23104,1668,0.07219529085872577,-0.030000000000000027,0.1,0.8,False,5,0,5,True,,False,False,80,station
CSGS2,1,0.1,robust_local_cqr,40,0.43005464480874317,40,0.549402390438247,23424,1031,0.044014685792349725,0.11934774562950384,0.1,0.8,False,5,0,5,True,,False,True,80,station
