station,horizon_steps,method,baseline_worst_undercoverage,method_worst_undercoverage,improvement,delta_method_minus_baseline,clean_score_ratio,method_mean_normalized_interval_score
CSGS2,1,robust_risk_mondrian,0.549402390438247,0.46284153005464485,0.08656086038360217,-0.08656086038360217,0.8889684139896543,0.4320743911528352
CSGS2,4,robust_risk_mondrian,0.2826638477801269,0.23572710951526032,0.04693673826486655,-0.04693673826486655,0.9248364282805326,0.4056253891104292
CSGS5,1,robust_risk_mondrian,0.38203592814371257,0.30729483282674774,0.07474109531696482,-0.07474109531696482,0.9158011745937704,0.49434946991960577
CSGS5,4,robust_risk_mondrian,0.2252762430939227,0.2149171270718232,0.01035911602209949,-0.01035911602209949,0.9682494971645708,0.5619116717109602
CSGS6,1,robust_risk_mondrian,0.4109289617486339,0.3453551912568307,0.06557377049180324,-0.06557377049180324,0.9007203941546091,0.4534991066648734
CSGS6,4,robust_risk_mondrian,0.2589385474860335,0.19469273743016757,0.06424581005586594,-0.06424581005586594,0.961449177918431,0.3930413478032834
CSGS7,1,robust_risk_mondrian,0.35376712328767124,0.26472602739726026,0.08904109589041098,-0.08904109589041098,0.8772627428927282,0.4809898254348825
CSGS7,4,robust_risk_mondrian,0.18684470820969334,0.17101879327398617,0.015825914935707175,-0.015825914935707175,0.9570562067495838,0.4444753437999666
CSGS8,1,robust_risk_mondrian,0.49558823529411766,0.4147058823529412,0.08088235294117646,-0.08088235294117646,0.8981979602917727,0.23756760750012323
CSGS8,4,robust_risk_mondrian,0.41515151515151516,0.3502164502164502,0.06493506493506496,-0.06493506493506496,0.964214680119484,0.2728914926857059
CSGS2,1,robust_local_cqr,0.549402390438247,0.43005464480874317,0.11934774562950384,-0.11934774562950384,0.8382346414668822,0.40471487454312705
CSGS2,4,robust_local_cqr,0.2826638477801269,0.16211849192100536,0.12054535585912152,-0.12054535585912152,0.8996175058021397,0.39195500833826963
CSGS5,1,robust_local_cqr,0.38203592814371257,0.244311377245509,0.13772455089820357,-0.13772455089820357,0.897478643598353,0.48199750583112067
CSGS5,4,robust_local_cqr,0.2252762430939227,0.17520718232044197,0.05006906077348072,-0.05006906077348072,0.9394687859733255,0.5434184235172148
CSGS6,1,robust_local_cqr,0.4109289617486339,0.31447368421052635,0.09645527753810756,-0.09645527753810756,0.8954432410451437,0.442807164028569
CSGS6,4,robust_local_cqr,0.2589385474860335,0.1611731843575419,0.0977653631284916,-0.0977653631284916,0.936282205253425,0.37916011472194894
CSGS7,1,robust_local_cqr,0.35376712328767124,0.24589041095890418,0.10787671232876705,-0.10787671232876705,0.8715237760705226,0.4758419788223776
CSGS7,4,robust_local_cqr,0.18684470820969334,0.10672601384767555,0.0801186943620178,-0.0801186943620178,0.9509465736529652,0.4369157212801699
CSGS8,1,robust_local_cqr,0.49558823529411766,0.4073529411764706,0.08823529411764708,-0.08823529411764708,0.848838140007641,0.22134237224053685
CSGS8,4,robust_local_cqr,0.41515151515151516,0.3632034632034632,0.051948051948051965,-0.051948051948051965,0.931268604848076,0.25975319294496274
CSGS2,1,robust_rolling_cqr,0.549402390438247,0.5374501992031873,0.01195219123505975,-0.01195219123505975,0.9873537964340899,0.45967567364101686
CSGS2,4,robust_rolling_cqr,0.2826638477801269,0.24829443447037702,0.03436941330974985,-0.03436941330974985,0.9867988123966944,0.42626422875243686
CSGS5,1,robust_rolling_cqr,0.38203592814371257,0.36107784431137724,0.020958083832335328,-0.020958083832335328,0.9877113430059035,0.5102112800663038
CSGS5,4,robust_rolling_cqr,0.2252762430939227,0.21120331950207472,0.014072923591847974,-0.014072923591847974,0.9967163605524891,0.5633858980314336
CSGS6,1,robust_rolling_cqr,0.4109289617486339,0.4230263157894737,-0.01209735404083978,0.01209735404083978,0.9922919435019075,0.4874392080475716
CSGS6,4,robust_rolling_cqr,0.2589385474860335,0.20865921787709496,0.05027932960893855,-0.05027932960893855,0.980150981476639,0.39621318038391456
CSGS7,1,robust_rolling_cqr,0.35376712328767124,0.35376712328767124,0.0,0.0,0.9894049078596475,0.531472785578481
CSGS7,4,robust_rolling_cqr,0.18684470820969334,0.16607319485657768,0.020771513353115667,-0.020771513353115667,0.997151453138439,0.4570657827150618
CSGS8,1,robust_rolling_cqr,0.49558823529411766,0.525,-0.02941176470588236,0.02941176470588236,0.985983050213108,0.25243173264634133
CSGS8,4,robust_rolling_cqr,0.41515151515151516,0.42380952380952386,-0.008658008658008698,0.008658008658008698,0.9906937941465147,0.277332540678664
CSGS2,1,oracle_ramp_mondrian,0.549402390438247,0.072106824925816,0.477295565512431,-0.477295565512431,0.6053200654015309,0.32250533825726313
CSGS2,4,oracle_ramp_mondrian,0.2826638477801269,0.09030520646319573,0.19235864131693114,-0.19235864131693114,0.8589916182264901,0.38268498928964756
CSGS5,1,oracle_ramp_mondrian,0.38203592814371257,0.21702253855278764,0.16501338959092493,-0.16501338959092493,0.7466584947369086,0.42526721621150204
CSGS5,4,oracle_ramp_mondrian,0.2252762430939227,0.2532458563535912,-0.027969613259668513,0.027969613259668513,0.8812337569520023,0.5255280794221797
CSGS6,1,oracle_ramp_mondrian,0.4109289617486339,0.05290115290115294,0.358027808847481,-0.358027808847481,0.7047445790293053,0.36575553723762805
CSGS6,4,oracle_ramp_mondrian,0.2589385474860335,0.06976024748646559,0.18917829999956792,-0.18917829999956792,0.8996470436033918,0.3735495843937115
CSGS7,1,oracle_ramp_mondrian,0.35376712328767124,0.05625000000000002,0.2975171232876712,-0.2975171232876712,0.7511895505874031,0.42395242880506057
CSGS7,4,oracle_ramp_mondrian,0.18684470820969334,0.06023738872403561,0.12660731948565773,-0.12660731948565773,0.9294938609142943,0.42952261163630523
CSGS8,1,oracle_ramp_mondrian,0.49558823529411766,0.1352941176470589,0.36029411764705876,-0.36029411764705876,0.7662725413678183,0.2036481142628211
CSGS8,4,oracle_ramp_mondrian,0.41515151515151516,0.2246753246753247,0.19047619047619047,-0.19047619047619047,0.8945894386504024,0.2518060445400671
